,,,,,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,gC/m2/yr ,
County,State,ID,Year,Area m2,Alfalfa,Corn Grain,Corn Silage,Cotton Pima,Cotton Upland,Haylage,Sorghum,Soybeans,Wheat Winter,Wheat Spring Durum,Wheat Excl Duram,Crops Other,Total crops,Hardwood,Softwood,Total Timber,BLM Grazing,USFS Grazing,Grazing Private Land,Total Grazing,Total HANPP Harvest,Alfalfa,Corn Grain,Corn Silage,Cotton Pima,Cotton Upland,Haylage,Sorghum,Soybeans,Wheat Winter,Wheat Spring,Wheat Excl Duram,Crops Other,Total crops,Hardwood,Softwood,Total Timber,USFS Grazing,BLM Grazing,Grazing Private Land,Total Grazing,Total HANPP Harvest,NPP 2012,NPP Percent
ABBEVILLE,SOUTH CAROLINA,SOUTH CAROLINA_ABBEVILLE,2012,1323859968,,557.8093,,0,61.1925,,0,77.52674,320.1482,,,,1016.67674,35326.31357,58829.77401,94156.08758,,,,0,95172.76432,0,0.421350682,0,0,0.046222789,0,0,0.058561133,0.241829353,0,0,0,0.767963957,26.68432797,4.44381E-05,26.68437241,,0,,0,71.89035594,510.665294,14.08
ACADIA,LOUISIANA,LOUISIANA_ACADIA,2012,1702989952,,,,0,,,290.0762,43259.45,,,,,43549.5262,,17060.81468,17060.81468,,,,0,60610.34088,0,0,0,0,0,0,0.170333477,25.40205827,0,0,0,0,25.57239175,,1.00182E-05,1.00182E-05,,0,,0,35.59054521,884.357755,4.02
ACCOMACK,VIRGINIA,VIRGINIA_ACCOMACK,2012,1458630016,,52983.3,,0,,,0,6200.029,32471.89,,,,91655.219,,,0,,,,0,91655.219,0,36.32401597,0,0,0,0,0,4.25058372,22.2619099,0,0,0,62.8365096,,,0,,0,,0,62.8365096,1368.178248,4.59
ADA,IDAHO,IDAHO_ADA,2012,2746980096,62328.91,,,0,,,0,0,14836.79,,4315.62,,81481.32,,,0,1954.588,,,1954.588,83435.908,22.68997511,0,0,0,0,0,0,0,5.401127595,0,1.571041598,0,29.6621443,,,0,2.420955,0.711540649,,0.711540649,30.37368495,366.816504,8.28
ADAIR,IOWA,IOWA_ADAIR,2012,1476999936,32921.22,234061.1,,0,,,0,108194.5,,,,,375176.82,4869.348939,,4869.348939,,,,0,380046.1689,22.28924944,158.470623,0,0,0,0,0,73.25288063,0,0,0,0,254.0127531,3.296783446,,3.296783446,,0,,0,257.3095365,458.203356,56.16
ADAIR,KENTUCKY,KENTUCKY_ADAIR,2012,1067939968,2947.989,12565.47,,0,,,0,7010.211,1032.666,,,,23556.336,55727.94427,1465.788304,57193.73257,,,,0,80750.06857,2.76044449,11.76608272,0,0,0,0,0,6.564236952,0.966970083,0,0,0,22.05773424,52.18265627,1.37254E-06,52.18265764,,0,,0,75.61292862,569.391739,13.28
ADAIR,MISSOURI,MISSOURI_ADAIR,2012,1474680064,,13095.65,,0,,,121.7686,27992.88,3319.727,,,,44530.0256,10012.54527,,10012.54527,,,,0,54542.57087,0,8.880332975,0,0,0,0,0.082572894,18.98234111,2.25115066,0,0,0,30.19639764,6.789638997,,6.789638997,,0,,0,36.98603663,579.00592,6.39
ADAIR,OKLAHOMA,OKLAHOMA_ADAIR,2012,1494620032,285.8656,,,0,,,0,0,,,,,285.8656,43011.15601,,43011.15601,,,,0,43297.02161,0.191263059,0,0,0,0,0,0,0,0,0,0,0,0.191263059,28.77731804,,28.77731804,17.23332,0,,0,28.9685811,486.338031,5.96
ADAMS,INDIANA,INDIANA_ADAMS,2012,880556992,9903.277,157586.7,,0,,,0,116717.4,15902.57,,,,300109.947,6486.760098,,6486.760098,,,,0,306596.7071,11.24660538,178.9625219,0,0,0,0,0,132.5495125,18.05967149,0,0,0,340.8183113,7.366655602,,7.366655602,,0,,0,348.1849669,320.737298,108.56
