County,State,FIPS,ID,Year,Area m2,Alfalfa,Corn Grain,Corn Silage,Cotton Pima,Cotton Upland,Haylage,Sorghum,Soybeans,Wheat Winter,Wheat Spring Durum,Wheat Excl Duram,Crops Other,Total crops,Hardwood,Softwood,Total Timber,BLM Grazing,USFS Grazing,Grazing Private Land,Total Grazing,Total HANPP Harvest,Alfalfa,Corn Grain,Corn Silage,Cotton Pima,Cotton Upland,Haylage,Sorghum,Soybeans,Wheat Winter,Wheat Spring,Wheat Excl Duram,Crops Other,Total crops,Hardwood,Softwood,Total Timber,USFS Grazing,BLM Grazing,Grazing Private Land,Total Grazing,Total HANPP Harvest,Mean NPP LS,Mean NPP MODIS,Mean NPP Potential,NPP difference LS-MODIS,Percent HANPP-NPP LS,Percent HANPP-NPP MODIS,Percent difference LS MODIS,HANPPlu LS,HANPP lu MODIS,NPP eco LS,NPP eco MODIS,NPP potential pixel sum,NPP potential pixel count,Land area,Water area,Total county area,Percent land area,NPP potential estimate,HANPPlu 2 LS
AUTAUGA,ALABAMA,1001,ALABAMA_AUTAUGA,2012,1565360000,,2002.922,,0,4169.495,,0,1219.946,,,,,7392.363,69480.21799,,69480.21799,,,,0,76872.58099,0,1.279528032,0,0,2.663601344,0,0,0.779338938,0,0,0,0,4.722468314,44.3860952,,44.3860952,,0,,0,49.10856352,645.631815,747.676571,626.727194,-102.044756,7.606279985,6.568155995,1.03812399,-18.904621,-120.949377,596.5232515,698.5680075,10654.36231,17,1539602137,25706961,1565309098,98.357707,6.371917495,-18.904621
BALDWIN,ALABAMA,1003,ALABAMA_BALDWIN,2012,4352679936,,7935.91,,0,5438.956,,0,13982.85,,,,,27357.716,15934.49512,104647.6732,120582.1683,,,,0,147939.8843,0,1.82322388,0,0,1.249564884,0,0,3.212469147,0,0,0,0,6.285257911,3.660846962,2.40E-05,3.660871004,,0,,0,33.98822943,708.401233,876.906706,609.606828,-168.505473,4.797878356,3.875923083,0.921955273,-98.794405,-267.299878,674.4130036,842.9184766,24993.87994,41,4117621645,1132980868,5250602513,78.421888,7.773427082,-98.794405
BARBOUR,ALABAMA,1005,ALABAMA_BARBOUR,2012,2342560000,,4639.891,,0,3512.95,,0,120.5324,,,,,8273.3734,60537.38909,147455.9004,207993.2895,,,,0,216266.6629,0,1.98069249,0,0,1.499620074,0,0,0.051453282,0,0,0,0,3.531765846,25.84240706,6.29E-05,25.84247001,,0,,0,92.32065044,644.787295,698.06323,609.198865,-53.275935,14.31800086,13.22525618,1.092744683,-35.58843,-88.864365,552.4666446,605.7425796,15229.97162,25,2292160139,50523213,2342683352,97.843361,6.226266747,-35.58843
BIBB,ALABAMA,1007,ALABAMA_BIBB,2012,1622339968,,,,0,19.72385,,0,3624.269,,,,,3643.99285,59844.21288,62259.95894,122104.1718,,,,0,125748.1647,0,0,0,0,0.012157655,0,0,2.233976276,0,0,0,0,2.246133931,36.8875908,3.84E-05,36.88762918,,0,,0,77.51036598,646.817873,699.140653,641.16698,-52.32278,11.98333707,11.08651966,0.89681741,-5.650893,-57.973673,569.307507,621.630287,9617.5047,15,1612167476,9602089,1621769565,99.407925,6.449857796,-5.650893
BLOUNT,ALABAMA,1009,ALABAMA_BLOUNT,2012,1685100032,,2402.871,,0,788.1717,,0,3805.585,,,,,6996.6277,46408.57521,32157.23275,78565.80796,,,,0,85562.43566,0,1.425951548,0,0,0.467729918,0,0,2.258373347,0,0,0,0,4.152054814,27.54054616,1.91E-05,27.54056524,,0,,0,50.7758792,625.079742,865.249789,673.012641,-240.170047,8.123104268,5.868349215,2.254755053,47.932899,-192.237148,574.3038628,814.4739098,12787.24017,19,1670103866,15015467,1685119333,99.108937,6.790635248,47.932899
BULLOCK,ALABAMA,1011,ALABAMA_BULLOCK,2012,1619149952,,3046.497,,0,382.3001,,0,1407.63,,,,,4836.4271,28420.22465,80558.28342,108978.5081,,,,0,113814.9352,0,1.881540988,0,0,0.236111609,0,0,0.869363581,0,0,0,0,2.987016177,17.55255875,4.98E-05,17.5526085,,0,,0,70.29301704,677.15135,719.421788,616.935486,-42.270438,10.3806951,9.770765664,0.609929441,-60.215864,-102.486302,606.858333,649.128771,10487.90326,17,1613076054,6038093,1619114147,99.627074,6.192448109,-60.215864
BUTLER,ALABAMA,1013,ALABAMA_BUTLER,2012,2014560000,,4719.066,,0,310.9685,,0,734.6594,,,,,5764.6939,43961.06415,111604.1603,155565.2245,,,,0,161329.9184,0,2.342479747,0,0,0.154360506,0,0,0.364674867,0,0,0,0,2.86151512,21.82167031,5.54E-05,21.82172571,,0,,0,80.08196249,650.048649,665.307902,617.463574,-15.259253,12.31937988,12.0368272,0.282552686,-32.585075,-47.844328,569.9666865,585.2259395,12966.73505,21,2012002531,2701198,2014703729,99.865926,6.182925435,-32.585075
CALHOUN,ALABAMA,1015,ALABAMA_CALHOUN,2012,1585609984,,3176.295,,0,2288.911,,0,2212.264,,,,,7677.47,7881.670251,14135.24541,22016.91566,,,,0,29694.38566,0,2.003200681,0,0,1.443552338,0,0,1.395213213,0,0,0,0,4.841966232,4.970749636,8.91E-06,4.970758551,,0,,0,18.72742097,726.719484,790.082639,682.046312,-63.363155,2.576980717,2.370311667,0.20666905,-44.673172,-108.036327,707.992063,771.355218,12276.83362,18,1569195268,16587192,1585782460,98.954006,6.892558872,-44.673172
CHAMBERS,ALABAMA,1017,ALABAMA_CHAMBERS,2012,1562220032,,1204.788,,0,32.05125,,0,244.8831,,,,,1481.72235,25998.38678,52113.58006,78111.96684,,,,0,79593.68919,0,0.771202504,0,0,0.020516476,0,0,0.156753271,0,0,0,0,0.948472251,16.64194943,3.34E-05,16.64198279,,0,,0,50.94909012,554.289648,667.708975,649.896295,-113.419327,9.191780922,7.630433621,1.561347301,95.606647,-17.81268,503.3405579,616.7598849,12348.0296,19,1545085607,16971700,1562057307,98.913503,6.570349601,95.606647
CHEROKEE,ALABAMA,1019,ALABAMA_CHEROKEE,2012,1553849984,,8157.532,,0,10993.4,,0,13281.98,,,,,32432.912,28762.53389,52275.77795,81038.31184,,,,0,113471.2238,0,5.249883891,0,0,7.074942957,0,0,8.547787841,0,0,0,0,20.87261469,18.51049599,3.36E-05,18.51052963,,0,,0,73.02585514,753.088446,791.624776,692.374772,-38.53633,9.696849756,9.22480667,0.472043086,-60.713674,-99.250004,680.0625909,718.5989209,10385.62158,15,1433623319,120308342,1553931661,92.25781,7.504782218,-60.713674
