NAME_2,STATE_NA_1,Land resource area,Pasture_grassland_mean_npp(gC/m2/yr),Grassland/Pasture NPP percetage of LRRs,HANPP_grazing(gC/m2/yr)Site_speific,Grassland/Pasture area_Acres,Grassland/Pasture area_m2,HANPP_grazing_Tonnes(Site specific),County_Area_m2,HANPP_grazing_gC/m2/yr(County),HANPP_grazing_Tonnes(County)
Jefferson Davis,Louisiana,"Atlantic , gulf coast lowland",877.24668,9.68,84.91747862,31985.7,129441649.9,10991.85854,1705600000,6.444569969,10991.85854
Calcasieu,Louisiana,"Atlantic , gulf coast lowland",720.679,9.68,69.7617272,159312.8,644716597.8,44976.54342,2834200064,15.86921967,44976.54342
Cameron,Louisiana,"Atlantic , gulf coast lowland",930.630283,9.68,90.08501139,30779,124558303.9,11220.83623,4245530112,2.64297648,11220.83623
Acadia,Louisiana,"Atlantic , gulf coast lowland",884.357755,9.68,85.60583068,29666.8,120057386.2,10277.61228,1702989952,6.035039882,10277.61228
Lafourche,Louisiana,"Atlantic , gulf coast lowland",853.922685,9.68,82.65971591,45655,184759393.3,15272.15896,3215879936,4.748982943,15272.15896
Jefferson,Louisiana,"Atlantic , gulf coast lowland",929.738971,9.68,89.99873239,1959.1,7928203.426,713.5282585,1323900032,0.538959318,713.5282585
Saint Bernard,Louisiana,"Atlantic , gulf coast lowland",1161.665289,9.68,112.4492,634.7,2568542.042,288.8304977,1599280000,0.180600331,288.8304977
Saint Charles,Louisiana,"Atlantic , gulf coast lowland",670.592298,9.68,64.91333445,7425.5,30049958.93,1950.643034,1028169984,1.89719897,1950.643034
Terrebonne,Louisiana,"Atlantic , gulf coast lowland",1002.560544,9.68,97.04786066,15161.8,61357681.95,5954.631768,3847200000,1.547783263,5954.631768
Plaquemines,Louisiana,"Atlantic , gulf coast lowland",1345.116559,9.68,130.2072829,6513,26357199.18,3431.89929,3088740096,1.111100055,3431.89929
Vermilion,Louisiana,"Atlantic , gulf coast lowland",1061.266468,9.68,102.7305941,86859.6,351508640.9,36110.69151,3358510080,10.75199736,36110.69151
Kent,Delaware,"Atlantic , gulf coast lowland",1074.902819,9.68,104.0505929,3546.1,14350570.25,1493.185342,1548729984,0.964135361,1493.185342
Sussex,Delaware,"Atlantic , gulf coast lowland",1046.034732,9.68,101.2561621,2381.6,9638001.776,975.9070697,2534249984,0.385087137,975.9070697
Caroline,Maryland,"Atlantic , gulf coast lowland",1008.846662,9.68,97.65635688,11922.8,48249902.41,4711.909689,844492032,5.579578623,4711.909689
Talbot,Maryland,"Atlantic , gulf coast lowland",1067.544325,9.68,103.3382907,10727.2,43411476.59,4486.067786,796262976,5.633902268,4486.067786
Dorchester,Maryland,"Atlantic , gulf coast lowland",1055.175437,9.68,102.1409823,1116.2,4517105.132,461.3815553,1550200064,0.297627104,461.3815553
Kent,Maryland,"Atlantic , gulf coast lowland",999.757471,9.68,96.77652319,2490.2,10077490.77,975.2645194,781113024,1.248557494,975.2645194
Somerset,Maryland,"Atlantic , gulf coast lowland",1047.703661,9.68,101.4177144,541.8,2192588.748,222.3673394,903240000,0.246188543,222.3673394
Queen Anne's,Maryland,"Atlantic , gulf coast lowland",1009.911967,9.68,97.75947841,3326.6,13462284.48,1316.065909,1023190016,1.286238028,1316.065909
Wicomico,Maryland,"Atlantic , gulf coast lowland",995.759712,9.68,96.38954012,1050.1,4249607.686,409.6177306,995641024,0.411411061,409.6177306
Worcester,Maryland,"Atlantic , gulf coast lowland",1158.770024,9.68,112.1689383,865.8,3503771.388,393.0143167,1513840000,0.259614171,393.0143167
Jackson,Mississippi,"Atlantic , gulf coast lowland",597.422553,9.68,57.83050313,15419.1,62398939.03,3608.562039,1934419968,1.865449126,3608.562039
Hancock,Mississippi,"Atlantic , gulf coast lowland",562.878094,9.68,54.4865995,22145.4,89619333.44,4883.052729,1934419968,2.524298141,4883.052729
Onslow,North Carolina,"Atlantic , gulf coast lowland",712.22396,9.68,68.94327933,2198.8,8898235.768,613.4735541,2076739968,0.295402199,613.4735541
Craven,North Carolina,"Atlantic , gulf coast lowland",544.036729,9.68,52.66275537,2118.1,8571654.166,451.4069264,1891949952,0.238593482,451.4069264
Bertie,North Carolina,"Atlantic , gulf coast lowland",548.167101,9.68,53.06257538,2939.8,11896959.03,631.2832852,1837609984,0.343534967,631.2832852
Beaufort,North Carolina,"Atlantic , gulf coast lowland",535.289494,9.68,51.81602302,6121.2,24771639.43,1283.567839,2230040064,0.575580618,1283.567839
Brunswick,North Carolina,"Atlantic , gulf coast lowland",603.340031,9.68,58.403315,1378,5576573.08,325.6903542,2310490112,0.140961588,325.6903542
Camden,North Carolina,"Atlantic , gulf coast lowland",935.543086,9.68,90.56057072,12.2,49371.692,4.471128605,636448000,0.007025128,4.471128605
Carteret,North Carolina,"Atlantic , gulf coast lowland",979.240872,9.68,94.79051641,105.2,425729.672,40.35513546,1463670016,0.027571198,40.35513546
Chowan,North Carolina,"Atlantic , gulf coast lowland",574.230951,9.68,55.58555606,215.1,870479.586,48.38609182,458057984,0.105633115,48.38609182
Columbus,North Carolina,"Atlantic , gulf coast lowland",485.072803,9.68,46.95504733,2995.9,12123987.87,569.2824245,2473349888,0.230166556,569.2824245
Currituck,North Carolina,"Atlantic , gulf coast lowland",1188.485255,9.68,115.0453727,26,105218.36,12.10488544,757680000,0.01597625,12.10488544
Dare,North Carolina,"Atlantic , gulf coast lowland",664.214027,9.68,64.29591781,2.7,10926.522,0.702530761,1073139968,0.00065465,0.702530761
Pender,North Carolina,"Atlantic , gulf coast lowland",620.819851,9.68,60.09536158,4956.5,20058261.59,1205.408483,2285560064,0.527401796,1205.408483
New Hanover,North Carolina,"Atlantic , gulf coast lowland",622.413978,9.68,60.24967307,118.1,477934.166,28.79537725,568632000,0.050639741,28.79537725
