,,,,,                                                                                                                                              HANPP Harvest Total in KiloTonnes 1,,,,,,,,,,,,HANPP Harvest Total in Kilotonnes,,,                             HANPP Harvest Total in Kilotonnes,,,,Total All HANPP Harvest in Kilotonnes,                                                                                                                           County- wide HANPP Harvest Total in gC/m2/yr 2,,,,,,,,,,,,County-wide HANPP Harvest Total in gC/m2/yr 2,,,                   County-wide HANPP Harvest Total in gC/m2/yr 2,,,,Total All HANPP Harvest County-wide in gC/m2/yr 2,                                                                                                                         Onsite HANPP Harvest Total in gC/m2/yr 3,,,,,,,,,,,,Onsite HANPP Harvest Total in gC/m2/yr,,,                        Onsite HANPP Harvest Total in gC/m2/yr,,,,Total Onsite All HANPP in gC/m2/yr,                                                                                                                                      HANPP Harvest Used in Kilotonnes 4,,,,,,,,,,,,HANPP Harvest Used in Kilotonnes,,,                      HANPP Harvest Used in Kilotonnes,,,,Total All HANPP Used in Kilotonnes,                                                                                                                 HANPP Harvest Unused in Kilotonnes 5,,,,,,,,,,,,HANPP Harvest Unused in Kilotonnes,,,HANPP Harvest Unused in Kilotonnes,,,,Total All HANPP Unused in Kilotonnes,                                                                                                                   HANPP Harvest Above Ground in Kilotonnes 6,,,,,,,,,,,,   HANPP Harvest Above Ground in Kilotonnes,,,                 HANPP Harvest Above Ground in Kilotonnes,,,,Total All HANPP Aboveground in Kilotonnes,                                                                    HANPP Harvest Below Ground in Kilotonnes 7,,,,,,,,,,,,           HANPP Harvest Below Ground in Kilotonnes,,,                     HANPP Harvest Below Ground in Kilotonnes,,,,Total All HANPP Belowground in Kilotonnes,                                                                                                                   HANPP Harvest Used County-wide in gC/m2/yr 8,,,,,,,,,,,,        HANPP Harvest Used County-wide in gC/m2/yr,,,        HANPP Harvest Used County-wide in gC/m2/yr,,,,Total All HANPP Harvest Used County-wide in gC/m2/yr,                                        HANPP Harvest Unused County-wide in gC/m2/yr 9,,,,,,,,,,,,HANPP Harvest Unused County-wide in gC/m2/yr,,,HANPP Harvest Unused County-wide in gC/m2/yr,,,,Total All HANPP Harvest Unused County-wide in gC/m2/yr,HANPP Harvest Aboveground County-wide in gC/m2/yr 10,,,,,,,,,,,,HANPP Harvest Aboveground County-wide in gC/m2/yr,,,HANPP Harvest Aboveground County-wide in gC/m2/yr,,,,Total All HANPP Harvest Aboveground County-wide in gC/m2/yr,     HANPP Harvest Belowground County-wide in gC/m2/yr 11,,,,,,,,,,,,HANPP Harvest Belowground County-wide in gC/m2/yr,,,HANPP Harvest Belowground County-wide in gC/m2/yr,,,,Total All HANPP Harvest Belowground County-wide in gC/m2/yr,HANPP Harvest Used Onsite in gC/m2/yr 12,,,,,,,,,,,,HANPP Harvest Used Onsite in gC/m2/yr,,,HANPP Harvest Used Onsite in gC/m2/yr,,,,Total All HANPP Harvest Used Onsite gC/m2/yr,HANPP Harvest Unused Onsite in gC/m2/yr 13,,,,,,,,,,,,HANPP Harvest Unused Onsite in gC/m2/yr,,,HANPP Harvest Unused Onsite in gC/m2/yr,,,,Total All HANPP Harvest Unused Onsite gC/m2/yr,      HANPP Harvest Aboveground Onsite in gC/m2/yr 14,,,,,,,,,,,,HANPP Harvest Aboveground Onsite in gC/m2/yr,,,HANPP Harvest Aboveground Onsite in gC/m2/yr,,,,Total All HANPP Harvest Aboveground Onsite gC/m2/yr,HANPP Harvest Belowground Onsite in gC/m2/yr 15,,,,,,,,,,,,HANPP Harvest Belowground Onsite in gC/m2/yr,,,HANPP Harvest Belowground Onsite in gC/m2/yr,,,,Total All HANPP Harvest Belowground Onsite gC/m2/yr
County,State,State_County,Year,County_Area,Corn Grain,Corn Silage,Winter Wheat,Spring Wheat Durum,Spring Wheat Excluding Durum,Soybeans,Hay Alfalfa,Cotton Pima,Cotton Upland,Sorghum,Other Crops,Total Crops,Hardwood,Softwood,Total Timber,BLM Grazing,USFS Grazing,Private Grazing Land,Total Grazing,,Corn Grain,Corn Silage,Winter Wheat,Spring Wheat Durum,Spring Wheat Excluding Durum,Soybeans,Hay Alfalfa,Cotton Pima,Cotton Upland,Sorghum,Other Crops,Total Crops,Hardwood,Softwood,Total Timber,BLM Grazing,USFS Grazing,Private Grazing Land,Total Grazing,,Corn Grain,Corn Silage,Winter Wheat,Spring Wheat Durum,Spring Wheat Excluding Durum,Soybeans,Hay Alfalfa,Cotton Pima,Cotton Upland,Sorghum,Other Crops,Total Crops,Hardwood,Softwood,Total Timber,BLM Grazing,USFS Grazing,Private Grazing Land,Total Grazing,,Corn Grain,Corn Silage,Winter Wheat,Spring Wheat Durum,Spring Wheat Excluding Durum,Soybeans,Hay Alfalfa,Cotton Pima,Cotton Upland,Sorghum,Other Crops,Total Crops,Hardwood,Softwood,Total Timber,BLM Grazing,USFS Grazing,Private Grazing Land,Total Grazing,,Corn Grain,Corn Silage,Winter Wheat,Spring Wheat Durum,Spring Wheat Excluding Durum,Soybeans,Hay Alfalfa,Cotton Pima,Cotton Upland,Sorghum,Other Crops,Total Crops,Hardwood,Softwood,Total Timber,BLM Grazing,USFS Grazing,Private Grazing Land,Total Grazing,,Corn Grain,Corn Silage,Winter Wheat,Spring Wheat Durum,Spring Wheat Excluding Durum,Soybeans,Hay Alfalfa,Cotton Pima,Cotton Upland,Sorghum,Other Crops,Total Crops,Hardwood,Softwood,Total Timber,BLM Grazing,USFS Grazing,Private Grazing Land,Total Grazing,,Corn Grain,Corn Silage,Winter Wheat,Spring Wheat Durum,Spring Wheat Excluding Durum,Soybeans,Hay Alfalfa,Cotton Pima,Cotton Upland,Sorghum,Other Crops,Total Crops,Hardwood,Softwood,Total Timber,BLM Grazing,USFS Grazing,Private Grazing Land,Total Grazing,,Corn Grain,Corn Silage,Winter Wheat,Spring Wheat Durum,Spring Wheat Excluding Durum,Soybeans,Hay Alfalfa,Cotton Pima,Cotton Upland,Sorghum,Other Crops,Total Crops,Hardwood,Softwood,Total Timber,BLM Grazing,USFS Grazing,Private Grazing Land,Total Grazing,,Corn Grain,Corn Silage,Winter Wheat,Spring Wheat Durum,Spring Wheat Excluding Durum,Soybeans,Hay Alfalfa,Cotton Pima,Cotton Upland,Sorghum,Other Crops,Total Crops,Hardwood,Softwood,Total Timber,BLM Grazing,USFS Grazing,Private Grazing Land,Total Grazing,,Corn Grain,Corn Silage,Winter Wheat,Spring Wheat Durum,Spring Wheat Excluding Durum,Soybeans,Hay Alfalfa,Cotton Pima,Cotton Upland,Sorghum,Other Crops,Total Crops,Hardwood,Softwood,Total Timber,BLM Grazing,USFS Grazing,Private Grazing Land,Total Grazing,,Corn Grain,Corn Silage,Winter Wheat,Spring Wheat Durum,Spring Wheat Excluding Durum,Soybeans,Hay Alfalfa,Cotton Pima,Cotton Upland,Sorghum,Other Crops,Total Crops,Hardwood,Softwood,Total Timber,BLM Grazing,USFS Grazing,Private Grazing Land,Total Grazing,,Corn Grain,Corn Silage,Winter Wheat,Spring Wheat Durum,Spring Wheat Excluding Durum,Soybeans,Hay Alfalfa,Cotton Pima,Cotton Upland,Sorghum,Other Crops,Total Crops,Hardwood,Softwood,Total Timber,BLM Grazing,USFS Grazing,Private Grazing Land,Total Grazing,,Corn Grain,Corn Silage,Winter Wheat,Spring Wheat Durum,Spring Wheat Excluding Durum,Soybeans,Hay Alfalfa,Cotton Pima,Cotton Upland,Sorghum,Other Crops,Total Crops,Hardwood,Softwood,Total Timber,BLM Grazing,USFS Grazing,Private Grazing Land,Total Grazing,,Corn Grain,Corn Silage,Winter Wheat,Spring Wheat Durum,Spring Wheat Excluding Durum,Soybeans,Hay Alfalfa,Cotton Pima,Cotton Upland,Sorghum,Other Crops,Total Crops,Hardwood,Softwood,Total Timber,BLM Grazing,USFS Grazing,Private Grazing Land,Total Grazing,,Corn Grain,Corn Silage,Winter Wheat,Spring Wheat Durum,Spring Wheat Excluding Durum,Soybeans,Hay Alfalfa,Cotton Pima,Cotton Upland,Sorghum,Other Crops,Total Crops,Hardwood,Softwood,Total Timber,BLM Grazing,USFS Grazing,Private Grazing Land,Total Grazing,
AUTAUGA,ALABAMA,ALABAMA_AUTAUGA,2012,1565360000,2.001519373,,,,,1.219016766,,,4.169494591,,0.739003073,8.129033803,69.48021799,90.11594404,159.596162,,0,,,,1.278631991,,,,,0.778745315,,,2.663601083,,0.472097839,5.193076227,44.3860952,57.5688302,101.9549254,0,,,,,526.7156246,,,,,243.8876932,,,153.6574384,,92.42607562,1016.686832,,,,,,,,,1.060805268,,,,,0.560747712,,,1.959662458,,0.358121544,3.939336982,41.10278199,68.97615289,,,,,,,0.940714106,,,,,0.658269054,,,2.209832133,,0.380881529,4.189696821,28.377436,21.13979115,49.51722715,,,,,,1.701291467,,,,,0.560747712,,,3.585765348,,0.584780453,6.43258498,55.58417439,71.19159579,126.7757702,,,,,,0.300227906,,,,,0.658269054,,,0.583729243,,0.15422262,1.696448823,13.8960436,18.92434825,32.82039185,,,,,,0.300227906,,,,,0.358222845,,,1.251892509,,0.191034326,2.101377586,26.25771835,44.06408295,70.3218013,,,,,,0.600957036,,,,,0.42052247,,,1.411708574,,0.243318808,2.676506887,18.12837686,13.50474725,31.6331241,,,,,,1.086837192,,,,,0.677508424,,,2.290696931,,0.405504255,4.460546802,35.50887616,45.47937586,80.98825202,,,,,,0.191794799,,,,,0.42052247,,,0.372904152,,0.098522142,1.083743562,8.877219041,12.08945434,20.96667338,,,,,,279.159281,,,,,112.1883389,,,72.21899604,,46.3566616,509.9232776,,,,,,,,,247.5563436,,,,,131.6993543,,,81.43844234,,46.06941403,506.7635543,,,,,,,,,447.7082809,,,,,112.1883389,,,132.145397,,69.20420168,761.2462185,,,,,,,,,79.00734369,,,,,131.6993543,,,21.51204137,,23.22187394,255.4406134,,,,,,,,
BALDWIN,ALABAMA,ALABAMA_BALDWIN,2012,4352679936,7.930352198,,,,,13.97220104,,,5.438955687,,2.734150893,30.07565982,15.93449512,104.6476732,120.5821683,,0,,,,1.821947011,,,,,3.210022618,,,1.249564812,,0.628153444,6.909687885,3.660846962,24.04212455,27.70297152,0,,,,,652.7038846,,,,,269.5254831,,,110.9877704,,103.3217138,1136.538852,,,,,,,,,4.203086665,,,,,6.42721248,,,2.556309173,,1.318660832,14.50526915,9.430619562,80.08370442,,,,,,,3.727265533,,,,,7.544988563,,,2.882646514,,1.415490061,15.57039067,6.50387556,24.56396875,31.06784431,,,,,,6.740799368,,,,,6.42721248,,,4.677501891,,1.784551374,19.63006511,12.7475961,82.6716618,95.4192579,,,,,,1.18955283,,,,,7.544988563,,,0.761453796,,0.949599519,10.44559471,3.186899024,21.97601136,25.16291039,,,,,,1.18955283,,,,,1.476610404,,,0.587295462,,0.32534587,3.578804565,2.166623712,18.39871196,20.56533568,,,,,,0.856315095,,,,,1.733412214,,,0.66226935,,0.325199666,3.577196325,1.49422325,5.643412589,7.137635839,,,,,,1.548654959,,,,,2.792719678,,,1.074625738,,0.541600038,5.957600413,2.92867757,18.9932784,21.92195597,,,,,,0.273292052,,,,,1.733412214,,,0.174939074,,0.218164334,2.399807673,0.732169392,5.048846156,5.781015549,,,,,,345.9330588,,,,,123.9817222,,,52.16425207,,52.20790331,574.2869364,,,,,,,,,306.7708257,,,,,145.5437609,,,58.82351829,,51.11381049,562.2519154,,,,,,,,,554.7983019,,,,,123.9817222,,,95.44948252,,77.42295066,851.6524573,,,,,,,,,97.90558269,,,,,145.5437609,,,15.53828785,,25.89876314,284.8863945,,,,,,,,
BARBOUR,ALABAMA,ALABAMA_BARBOUR,2012,2342560000,4.636641854,,,,,0.120440553,,,3.512950049,,0.827003246,9.097035702,60.53738909,147.4559004,207.9932895,,0,,,,1.979305484,,,,,0.051414074,,,1.499620095,,0.353033965,3.883373618,25.84240706,62.94647754,88.78888461,0,,,,,692.9354298,,,,,266.8959662,,,184.5521434,,114.4383539,1258.821893,,,,,,,,,2.457420183,,,,,0.055402655,,,1.651086523,,0.416390936,4.580300296,35.81410424,112.8356627,,,,,,,2.179221671,,,,,0.065037899,,,1.861863526,,0.41061231,4.516735406,24.72328486,34.62023768,59.34352254,,,,,,3.941145576,,,,,0.055402655,,,3.021137042,,0.701768527,7.7194538,48.42991128,116.4901613,164.9200726,,,,,,0.695496278,,,,,0.065037899,,,0.491813007,,0.125234718,1.377581902,12.10747782,30.96573909,43.07321691,,,,,,0.695496278,,,,,0.023650474,,,0.704821445,,0.14239682,1.566365016,15.28844693,48.16767244,63.45611937,,,,,,0.930273577,,,,,0.0277636,,,0.79479865,,0.175283583,1.92811941,10.55396014,14.7788051,25.33276524,,,,,,1.682409661,,,,,0.044730244,,,1.289673281,,0.301681319,3.318494506,20.67392565,49.72771726,70.40164291,,,,,,0.296895823,,,,,0.0277636,,,0.209946813,,0.053460624,0.588066859,5.168481413,13.21876028,18.3872417,,,,,,367.2557778,,,,,122.7721444,,,86.73950739,,57.67674296,634.4441726,,,,,,,,,325.679652,,,,,144.1238217,,,97.81263599,,56.76161097,624.3777207,,,,,,,,,588.9951153,,,,,122.7721444,,,158.7148433,,87.0482103,957.5303134,,,,,,,,,103.9403145,,,,,144.1238217,,,25.83730007,,27.39014363,301.2915799,,,,,,,,
BIBB,ALABAMA,ALABAMA_BIBB,2012,1622339968,,,,,,3.621508266,,,0.019723848,,0.364123211,4.005355326,59.84421288,62.25995894,122.1041718,,0,,,,,,,,,2.232274577,,,0.012157654,,0.224443223,2.468875454,36.8875908,38.37664125,75.26423205,0,,,,,,,,,,287.2747222,,,60.39040446,,34.76651267,382.4316394,,,,,,,,,,,,,,1.665893803,,,0.009270208,,0.167516401,1.842680412,35.40333315,47.6441272,,,,,,,,,,,,1.955614464,,,0.010453639,,0.19660681,2.162674913,24.44087974,14.61583173,39.05671147,,,,,,,,,,,1.665893803,,,0.016962509,,0.168285631,1.851141943,47.87537031,49.18536756,97.06073787,,,,,,,,,,,1.955614464,,,0.002761339,,0.19583758,2.154213383,11.96884258,13.07459138,25.04343395,,,,,,,,,,,1.026846306,,,0.005714097,,0.10325604,1.135816443,21.82238855,29.36753587,51.18992442,,,,,,,,,,,1.205428272,,,0.006443557,,0.121187183,1.333059011,15.06520225,9.00910538,24.07430763,,,,,,,,,,,1.942078882,,,0.010455582,,0.195253446,2.147787911,29.51007264,30.31754659,59.82761923,,,,,,,,,,,1.205428272,,,0.001702072,,0.120713034,1.327843378,7.377518161,8.059094662,15.43661282,,,,,,,,,,,132.1463722,,,28.3834901,,16.05298623,176.5828486,,,,,,,,,,,,,,155.12835,,,32.00691437,,18.71352644,205.8487908,,,,,,,,,,,,,,132.1463722,,,51.93574784,,18.40821201,202.4903321,,,,,,,,,,,,,,155.12835,,,8.454656625,,16.35830066,179.9413073,,,,,,,,
BLOUNT,ALABAMA,ALABAMA_BLOUNT,2012,1685100032,2.401188013,,,,,3.802685738,,,0.788171657,,0.699204541,7.691249949,46.40857521,32.15723275,78.56580796,,0,,,,1.424952803,,,,,2.256652819,,,0.467729893,,0.414933551,4.564269066,27.54054616,19.08327822,46.62382438,0,,,,,370.5537058,,,,,272.155,,,132.4391882,,77.51478939,852.6626833,,,,,,,,,1.272629647,,,,,1.749235439,,,0.370440679,,0.339230577,3.731536342,27.45320105,24.60602005,,,,,,,1.128558366,,,,,2.053450298,,,0.417730978,,0.359973964,3.959713607,18.95537417,7.551212696,26.50658686,,,,,,2.041009811,,,,,1.749235439,,,0.677827625,,0.446807288,4.914880164,37.12686017,25.40421387,62.53107404,,,,,,0.360178202,,,,,2.053450298,,,0.110344032,,0.252397253,2.776369786,9.281715043,6.753018877,16.03473392,,,,,,0.360178202,,,,,1.038060297,,,0.21983305,,0.161807155,1.779878703,16.29173374,14.60211239,30.89384613,,,,,,0.669727817,,,,,1.218592522,,,0.247896843,,0.213621718,2.349838901,11.24881242,4.481165838,15.72997826,,,,,,1.211209882,,,,,1.963287953,,,0.402247708,,0.357674554,3.934420097,22.03243693,15.0757898,37.10822672,,,,,,0.21374292,,,,,1.218592522,,,0.065482185,,0.149781763,1.64759939,5.508109232,4.007488427,9.515597659,,,,,,196.3934641,,,,,125.1913,,,62.24641844,,38.38311825,422.2143007,,,,,,,,,174.1602417,,,,,146.9637,,,70.19276973,,39.13167114,430.4483826,,,,,,,,,314.9706499,,,,,125.1913,,,113.8977018,,55.40596517,609.4656169,,,,,,,,,55.58305586,,,,,146.9637,,,18.54148634,,22.10882422,243.1970664,,,,,,,,
BULLOCK,ALABAMA,ALABAMA_BULLOCK,2012,1619149952,3.044363374,,,,,1.406557807,,,0.38230015,,0.483322133,5.316543464,28.42022465,80.55828342,108.9785081,,0,,,,1.880223243,,,,,0.868701386,,,0.236111639,,0.298503627,3.283539896,17.55255875,49.75344212,67.30600086,0,,,,,751.6946603,,,,,243.8876932,,,91.40169324,,108.6984047,1195.682451,,,,,,,,,1.613512588,,,,,0.647016591,,,0.17968107,,0.244021025,2.684231275,16.81594142,61.64721137,,,,,,,1.430850786,,,,,0.759541216,,,0.202619079,,0.239301108,2.632312189,11.60428324,18.91107205,30.51535529,,,,,,2.587708868,,,,,0.647016591,,,0.328778129,,0.356350359,3.919853947,22.73617972,63.6410439,86.37722362,,,,,,0.456654506,,,,,0.759541216,,,0.053522021,,0.126971774,1.396689517,5.68404493,16.91723952,22.60128445,,,,,,0.456654506,,,,,0.399602638,,,0.110972471,,0.096722961,1.063952576,10.38566032,38.07381231,48.45947263,,,,,,0.883704924,,,,,0.469098748,,,0.125139169,,0.147794284,1.625737126,7.166898422,11.67962981,18.84652823,,,,,,1.598189757,,,,,0.755770206,,,0.20305601,,0.255701597,2.81271757,14.042047,39.30521927,53.34726627,,,,,,0.282033486,,,,,0.469098748,,,0.03305563,,0.078418786,0.862606651,3.510511749,10.44822284,13.95873459,,,,,,398.3981699,,,,,112.1883389,,,42.95879582,,55.35453046,608.8998351,,,,,,,,,353.2964903,,,,,131.6993543,,,48.44289742,,53.34387421,586.7826163,,,,,,,,,638.9404612,,,,,112.1883389,,,78.60545619,,82.97342563,912.7076819,,,,,,,,,112.754199,,,,,131.6993543,,,12.79623705,,25.72497904,282.9747695,,,,,,,,
BUTLER,ALABAMA,ALABAMA_BUTLER,2012,2014560000,4.715761745,,,,,0.734099656,,,0.310968521,,0.576082992,6.336912913,43.96106415,111.6041603,155.5652244,,0,,,,2.34083956,,,,,0.364397018,,,0.154360516,,0.285959709,3.145556803,21.82167031,55.39877704,77.22044736,0,,,,,646.8808978,,,,,265.5812077,,,71.58244853,,98.4044554,1082.449009,,,,,,,,,2.499353725,,,,,0.337685842,,,0.146155205,,0.298319477,3.281514248,26.00694451,85.40019068,,,,,,,2.21640802,,,,,0.396413814,,,0.164813316,,0.277763515,3.055398665,17.95411964,26.20396959,44.15808923,,,,,,4.008397483,,,,,0.337685842,,,0.267432928,,0.461351625,5.074867878,35.16885132,88.16728662,123.3361379,,,,,,0.707364262,,,,,0.396413814,,,0.043535593,,0.114731367,1.262045036,8.792212829,23.43687366,32.22908649,,,,,,0.707364262,,,,,0.167622628,,,0.072549442,,0.094753633,1.042289965,12.90949116,42.39148533,55.30097649,,,,,,1.100194593,,,,,0.19677439,,,0.081811073,,0.137878006,1.516658062,8.912179155,13.00729171,21.91947087,,,,,,1.989713626,,,,,0.317025405,,,0.132750044,,0.243948908,2.683437983,17.45733625,43.76503386,61.22237011,,,,,,0.351125934,,,,,0.19677439,,,0.021610472,,0.05695108,0.626461875,4.364334063,11.63374318,15.99807724,,,,,,342.8468758,,,,,122.1673556,,,33.64375081,,49.86579822,548.5237804,,,,,,,,,304.034022,,,,,143.4138522,,,37.93869772,,48.53865718,533.925229,,,,,,,,,549.8487631,,,,,122.1673556,,,61.56090574,,73.35770244,806.9347268,,,,,,,,,97.03213467,,,,,143.4138522,,,10.02154279,,25.04675296,275.5142826,,,,,,,,
CALHOUN,ALABAMA,ALABAMA_CALHOUN,2012,1585609984,3.174070405,,,,,2.210578988,,,2.288911164,,0.767356056,8.440916613,7.881670251,14.13524541,22.01691566,,0,,,,2.001797691,,,,,1.394150522,,,1.443552442,,0.483950066,5.323450721,4.970749636,8.914705096,13.88545473,0,,,,,522.4807251,,,,,237.313901,,,144.913654,,90.470828,995.179108,,,,,,,,,1.682257315,,,,,1.016866334,,,1.075788247,,0.37749119,4.152403086,4.663963395,10.81919973,,,,,,,1.49181309,,,,,1.193712653,,,1.213122917,,0.389864866,4.288513527,3.217706856,3.316045671,6.533752527,,,,,,2.697959844,,,,,1.016866334,,,1.968463601,,0.568328978,6.251618758,6.305336201,11.16684387,17.47218007,,,,,,0.476110561,,,,,1.193712653,,,0.320447563,,0.199027078,2.189297855,1.57633405,2.968401535,4.544735585,,,,,,0.476110561,,,,,0.64130924,,,0.678469648,,0.179588945,1.975478394,2.941431652,6.823367564,9.764799216,,,,,,0.940844915,,,,,0.752841282,,,0.765082794,,0.245876899,2.70464589,2.029317984,2.091337532,4.120655516,,,,,,1.701528038,,,,,1.212910954,,,1.2414551,,0.415589409,4.571483501,3.976599709,7.042617026,11.01921673,,,,,,0.300269654,,,,,0.752841282,,,0.202097342,,0.125520828,1.380729105,0.994149927,1.87208807,2.866237997,,,,,,276.9147843,,,,,109.1643944,,,68.10941736,,45.41885961,499.6074557,,,,,,,,,245.5659408,,,,,128.1495065,,,76.8042366,,45.05196839,495.5716523,,,,,,,,,444.1086164,,,,,109.1643944,,,124.6257424,,67.78987532,745.6886285,,,,,,,,,78.37210877,,,,,128.1495065,,,20.28791155,,22.68095268,249.4904795,,,,,,,,
CHAMBERS,ALABAMA,ALABAMA_CHAMBERS,2012,1562220032,1.203943878,,,,,0.244696504,,,0.032051253,,0.148069164,1.628760799,25.99838678,52.11358006,78.11196684,,0,,,,0.770662169,,,,,0.156633828,,,0.020516478,,0.094781248,1.042593723,16.64194943,33.35866843,50.00061787,0,,,,,634.1761993,,,,,287.2747222,,,60.39040446,,98.1841326,1080.025459,,,,,,,,,0.638090256,,,,,0.112560392,,,0.015064089,,0.076571474,0.84228621,15.37824261,39.87665066,,,,,,,0.565853623,,,,,0.132136112,,,0.016987164,,0.07149769,0.786474589,10.62014417,12.23692941,22.85707358,,,,,,1.023352297,,,,,0.112560392,,,0.027564077,,0.116347677,1.279824442,20.79870942,41.16972825,61.96843767,,,,,,0.180591582,,,,,0.132136112,,,0.004487175,,0.031721487,0.348936356,5.199677356,10.94385181,16.14352917,,,,,,0.180591582,,,,,0.072051561,,,0.009642745,,0.026228589,0.288514476,9.843839083,25.52563009,35.36946917,,,,,,0.362211219,,,,,0.084582267,,,0.010873733,,0.045766722,0.503433942,6.798110352,7.833038339,14.63114869,,,,,,0.655062844,,,,,0.136271431,,,0.017644171,,0.080897845,0.88987629,13.31355955,26.35334806,39.66690761,,,,,,0.115599325,,,,,0.084582267,,,0.002872307,,0.02030539,0.22335929,3.328389887,7.00532037,10.33371026,,,,,,336.1133856,,,,,132.1463722,,,28.3834901,,49.66432479,546.3075727,,,,,,,,,298.0628137,,,,,155.12835,,,32.00691437,,48.5198078,533.7178858,,,,,,,,,539.0497694,,,,,132.1463722,,,51.93574784,,72.31318895,795.4450784,,,,,,,,,95.12642989,,,,,155.12835,,,8.454656625,,25.87094365,284.5803802,,,,,,,,
