ID,ALAND,AWATER,npp_p_to12,npp_pco12c,Tot_area,Per_land,NPP_P_mod
ALABAMA_AUTAUGA,1539602137,25706961,10654.36231,17,1565309098,98.357707,6.371917
ALABAMA_BALDWIN,4117621645,1132980868,24993.87994,41,5250602513,78.421888,7.773427
ALABAMA_BARBOUR,2292160139,50523213,15229.97162,25,2342683352,97.843361,6.226267
ALABAMA_BIBB,1612167476,9602089,9617.5047,15,1621769565,99.407925,6.449858
ALABAMA_BLOUNT,1670103866,15015467,12787.24017,19,1685119333,99.108937,6.790635
ALABAMA_BULLOCK,1613076054,6038093,10487.90326,17,1619114147,99.627074,6.192448
ALABAMA_BUTLER,2012002531,2701198,12966.73505,21,2014703729,99.865926,6.182925
ALABAMA_CALHOUN,1569195268,16587192,12276.83362,18,1585782460,98.954006,6.892559
ALABAMA_CHAMBERS,1545085607,16971700,12348.0296,19,1562057307,98.913503,6.57035
ALABAMA_CHEROKEE,1433623319,120308342,10385.62158,15,1553931661,92.25781,7.504782
ALABAMA_CHILTON,1794477075,20592142,12730.08276,20,1815069217,98.86549,6.438082
ALABAMA_CHOCTAW,2365869841,19144469,16831.38519,26,2385014310,99.197302,6.525994
ALABAMA_CLARKE,3207494106,36657891,20359.10767,32,3244151997,98.870032,6.434934
ALABAMA_CLAY,1564251834,5285207,10554.08563,16,1569537041,99.663263,6.618591
ALABAMA_CLEBURNE,1450663786,2354896,9605.471558,14,1453018682,99.837931,6.872189
ALABAMA_COFFEE,1758565919,3907189,11591.94568,19,1762473108,99.778312,6.114579
ALABAMA_COLBERT,1535202321,79700278,10769.68018,16,1614902599,95.064701,7.080494
ALABAMA_CONECUH,2202007855,6632046,14355.56244,23,2208639901,99.699723,6.260347
ALABAMA_COOSA,1685850815,39987271,10149.97235,16,1725838086,97.683023,6.494202
ALABAMA_COVINGTON,2669134207,34226200,17123.1897,28,2703360407,98.733939,6.193843
ALABAMA_CRENSHAW,1576952799,5388562,11109.61707,18,1582341361,99.659456,6.1931
ALABAMA_CULLMAN,1902970816,52525039,12768.1875,19,1955495855,97.313979,6.905584
ALABAMA_DALE,1453244559,4082940,9754.882935,16,1457327499,99.719834,6.113931
ALABAMA_DALLAS,2534919607,39124778,15846.67188,26,2574044385,98.480027,6.188944
ALABAMA_DE KALB,2012676480,4121543,15149.75122,22,2016798023,99.795639,6.899265
ALABAMA_ELMORE,1601768864,99957936,11880.74225,19,1701726800,94.126088,6.64324
ALABAMA_ESCAMBIA,2448115116,20504948,16135.46741,26,2468620064,99.169376,6.257929
ALABAMA_ETOWAH,1385871922,35067763,8869.443298,13,1420939685,97.532072,6.995287
ALABAMA_FAYETTE,1625693288,4330881,12023.13428,18,1630024169,99.734306,6.697313
ALABAMA_FRANKLIN,1641841404,32643981,10856.92053,16,1674485385,98.050507,6.92049
ALABAMA_GENEVA,1487897665,11578163,9704.745117,16,1499475828,99.227853,6.112664
ALABAMA_GREENE,1675782059,33416141,10759.65265,17,1709198200,98.044923,6.455416
ALABAMA_HALE,1667917734,32412739,10649.34863,17,1700330473,98.093739,6.386058
ALABAMA_HENRY,1454926622,16986823,8529.505981,14,1471913445,98.845936,6.163637
ALABAMA_HOUSTON,1501819549,4718092,7322.178955,12,1506537641,99.686825,6.120985
ALABAMA_JACKSON,2791974032,126334709,20398.21515,30,2918308741,95.670961,7.11077
ALABAMA_JEFFERSON,2878552100,32849845,20517.54346,31,2911401945,98.871683,6.694093
ALABAMA_LAMAR,1566544637,1600679,12071.26697,18,1568145316,99.897925,6.713112
ALABAMA_LAUDERDALE,1730146078,133608951,11901.79987,18,1863755029,92.831196,7.122725
ALABAMA_LAWRENCE,1788864251,68682382,14108.88251,21,1857546633,96.302522,6.976469
ALABAMA_LEE,1573514768,21526461,9368.819458,15,1595041229,98.650414,6.331326
ALABAMA_LIMESTONE,1450277886,122329712,11132.68036,17,1572607598,92.221218,7.101007
ALABAMA_LOWNDES,1854201377,23721835,13606.4978,22,1877923212,98.736805,6.263897
ALABAMA_MACON,1576855716,11345392,10583.16626,17,1588201108,99.285645,6.270183
ALABAMA_MADISON,2076111961,28810665,14662.40778,22,2104922626,98.631272,6.757219
ALABAMA_MARENGO,2530140237,14966620,18032.69623,29,2545106857,99.411945,6.254954
ALABAMA_MARION,1922657342,3183332,12836.37555,19,1925840674,99.834704,6.767173
ALABAMA_MARSHALL,1465531863,148495459,12964.72919,19,1614027322,90.799694,7.514939
ALABAMA_MOBILE,3184158350,1073926668,21132.23785,34,4258085018,74.779116,8.311631
ALABAMA_MONROE,2656469660,22609681,16928.65356,27,2679079341,99.156065,6.323236
ALABAMA_MONTGOMERY,2034017780,37744718,13076.03619,21,2071762498,98.178135,6.342231
ALABAMA_MORGAN,1501156832,50377239,10701.49213,16,1551534071,96.753069,6.912889
ALABAMA_PERRY,1863900621,10937769,12909.57733,21,1874838390,99.416602,6.183492
ALABAMA_PICKENS,2282674053,22740989,17691.75623,27,2305415042,99.013584,6.617781
ALABAMA_PIKE,1740647520,2336975,11110.61945,18,1742984495,99.865921,6.180854
ALABAMA_RANDOLPH,1503615937,9285420,10807.78491,16,1512901357,99.386251,6.79658
ALABAMA_RUSSELL,1660622936,15596319,10352.53021,17,1676219255,99.069554,6.146917
ALABAMA_SAINT CLAIR,1635786810,56407166,11998.06525,18,1692193976,96.666625,6.895443
