State,States,COUNTY,County,Species_Group,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_rowing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Hardwood_Density_lb_ft3,Df,CC,Percentshoot,HANPP_lb_C_perthousand_cubicfeet,TotalHANPP_Harvest_in_Tonnes,HANPP_harvest_used_in_Tonnes,HANPP_Harvest_unused_in_Tonnes,HANPP_Harvest_above_ground_in_Tonnes,HANPP_Harvest_below_ground_in_Tonnes,Stcnty
AL 1997,ALABAMA,AUTAUGA,Autauga,Hardwood,"3,630","1,024","4,654",567,201,768,255,139,394,"4,452","1,364","5,816",43,0.78,0.45,0.80,18866,49772,39828,9944,39817,9954,ALABAMA_AUTAUGA
AL 1997,ALABAMA,BALDWIN,Baldwin,Hardwood,"7,330","2,149","9,479","1,154",409,"1,563",519,284,803,"9,003","2,842","11,845",43,0.78,0.45,0.80,18866,101366,81119,20248,81093,20273,ALABAMA_BALDWIN
AL 1997,ALABAMA,BARBOUR,Barbour,Hardwood,"6,257","1,680","7,937",966,343,"1,309",435,237,672,"7,658","2,260","9,918",43,0.78,0.45,0.80,18866,84876,67923,16953,67900,16975,ALABAMA_BARBOUR
AL 1997,ALABAMA,BIBB,Bibb,Hardwood,"9,602","2,634","12,236","1,490",528,"2,018",670,366,"1,036","11,761","3,529","15,290",43,0.78,0.45,0.80,18866,130848,104712,26135,104678,26170,ALABAMA_BIBB
AL 1997,ALABAMA,BLOUNT,Blount,Hardwood,"3,268",958,"4,226",515,182,697,231,127,358,"4,014","1,267","5,281",43,0.78,0.45,0.80,18866,45193,36165,9028,36155,9039,ALABAMA_BLOUNT
AL 1997,ALABAMA,BULLOCK,Bullock,Hardwood,"3,545",989,"4,534",552,196,748,248,136,384,"4,346","1,320","5,666",43,0.78,0.45,0.80,18866,48488,38801,9687,38790,9698,ALABAMA_BULLOCK
AL 1997,ALABAMA,BUTLER,Butler,Hardwood,"7,213","1,974","9,187","1,118",397,"1,515",503,275,778,"8,835","2,645","11,480",43,0.78,0.45,0.80,18866,98243,78620,19623,78594,19649,ALABAMA_BUTLER
AL 1997,ALABAMA,CALHOUN,Calhoun,Hardwood,"1,617",481,"2,098",255,91,346,115,63,178,"1,988",634,"2,622",43,0.78,0.45,0.80,18866,22438,17954,4484,17951,4488,ALABAMA_CALHOUN
AL 1997,ALABAMA,CHAMBERS,Chambers,Hardwood,"3,366",901,"4,267",520,184,704,233,128,361,"4,120","1,212","5,332",43,0.78,0.45,0.80,18866,45630,36516,9114,36504,9126,ALABAMA_CHAMBERS
AL 1997,ALABAMA,CHEROKEE,Cherokee,Hardwood,"2,703",774,"3,477",423,150,573,190,104,294,"3,316","1,028","4,344",43,0.78,0.45,0.80,18866,37175,29755,7420,29740,7435,ALABAMA_CHEROKEE
