State,States,COUNTY,County,Species_Group,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Hardwood_Density_lb_ft3,Df,CC,Percentshoot,HANPP_lb_C_perthousand_cubicfeet ,TotalHANPP_Harvest_in_Tonnes,HANPP_harvest_used_in_Tonnes,HANPP_Harvest_unused_in_Tonnes,HANPP_Harvest_above_ground_in_Tonnes,HANPP_Harvest_below_ground_in_Tonnes,Stcnty
AL 2002,ALABAMA,AUTAUGA,Autauga,Hardwood,"3,368",421,"3,789",655,207,862,389,169,558,"4,411",798,"5,209",43,0.78,0.45,0.80,18866,44577,32425,12152,35662,8915,ALABAMA_AUTAUGA
AL 2002,ALABAMA,BALDWIN,Baldwin,Hardwood,"5,272",550,"5,823","1,007",319,"1,325",601,261,862,"6,879","1,131","8,010",43,0.78,0.45,0.80,18866,68547,49832,18716,54838,13709,ALABAMA_BALDWIN
AL 2002,ALABAMA,BARBOUR,Barbour,Hardwood,"7,119",906,"8,025","1,387",439,"1,826",817,356,"1,173","9,323","1,701","11,024",43,0.78,0.45,0.80,18866,94340,68676,25665,75472,18868,ALABAMA_BARBOUR
AL 2002,ALABAMA,BIBB,Bibb,Hardwood,"4,981",550,"5,531",956,303,"1,259",585,255,840,"6,522","1,108","7,630",43,0.78,0.45,0.80,18866,65295,47333,17963,52236,13059,ALABAMA_BIBB
AL 2002,ALABAMA,BLOUNT,Blount,Hardwood,"1,724",190,"1,914",331,105,435,194,85,279,"2,249",380,"2,629",43,0.78,0.45,0.80,18866,22498,16379,6119,17999,4500,ALABAMA_BLOUNT
AL 2002,ALABAMA,BULLOCK,Bullock,Hardwood,"1,973",190,"2,163",374,118,492,221,96,317,"2,567",404,"2,972",43,0.78,0.45,0.80,18866,25434,18510,6923,20347,5087,ALABAMA_BULLOCK
AL 2002,ALABAMA,BUTLER,Butler,Hardwood,"4,980",620,"5,600",968,307,"1,275",571,249,820,"6,520","1,175","7,695",43,0.78,0.45,0.80,18866,65852,47923,17928,52681,13170,ALABAMA_BUTLER
AL 2002,ALABAMA,CALHOUN,Calhoun,Hardwood,"1,729",252,"1,981",342,108,451,203,88,291,"2,274",448,"2,722",43,0.78,0.45,0.80,18866,23294,16953,6341,18635,4659,ALABAMA_CALHOUN
AL 2002,ALABAMA,CHAMBERS,Chambers,Hardwood,"4,518",549,"5,067",876,277,"1,153",516,224,740,"5,910","1,051","6,960",43,0.78,0.45,0.80,18866,59562,43362,16200,47649,11912,ALABAMA_CHAMBERS
AL 2002,ALABAMA,CHEROKEE,Cherokee,Hardwood,"1,873",260,"2,133",369,117,486,218,95,313,"2,460",472,"2,931",43,0.78,0.45,0.80,18866,25083,18254,6829,20066,5017,ALABAMA_CHEROKEE
AL 2002,ALABAMA,CHILTON,Chilton,Hardwood,"4,782",442,"5,224",903,286,"1,189",542,236,778,"6,227",964,"7,191",43,0.78,0.45,0.80,18866,61539,44706,16833,49231,12308,ALABAMA_CHILTON
AL 2002,ALABAMA,CHOCTAW,Choctaw,Hardwood,"13,688","1,581","15,269","2,639",836,"3,474","1,551",675,"2,226","17,877","3,093","20,970",43,0.78,0.45,0.80,18866,179456,130668,48788,143564,35891,ALABAMA_CHOCTAW
AL 2002,ALABAMA,CLARKE,Clarke,Hardwood,"17,617","2,013","19,631","3,393","1,075","4,467","2,005",873,"2,878","23,015","3,961","26,976",43,0.78,0.45,0.80,18866,230853,167997,62857,184683,46171,ALABAMA_CLARKE
AL 2002,ALABAMA,CLAY,Clay,Hardwood,"2,887",349,"3,236",559,177,736,432,188,620,"3,878",714,"4,592",43,0.78,0.45,0.80,18866,39297,27693,11604,31438,7859,ALABAMA_CLAY
AL 2002,ALABAMA,CLEBURNE,Cleburne,Hardwood,"3,248",416,"3,665",633,201,834,374,163,537,"4,256",780,"5,036",43,0.78,0.45,0.80,18866,43097,31364,11733,34477,8619,ALABAMA_CLEBURNE
AL 2002,ALABAMA,COFFEE,Coffee,Hardwood,"1,595",212,"1,807",312,99,411,183,80,263,"2,091",390,"2,481",43,0.78,0.45,0.80,18866,21232,15464,5768,16985,4246,ALABAMA_COFFEE
AL 2002,ALABAMA,COLBERT,Colbert,Hardwood,"2,075",224,"2,299",398,126,524,233,102,335,"2,706",451,"3,158",43,0.78,0.45,0.80,18866,27025,19674,7351,21620,5405,ALABAMA_COLBERT
AL 2002,ALABAMA,CONECUH,Conecuh,Hardwood,"4,736",635,"5,371",928,294,"1,222",548,239,787,"6,212","1,168","7,380",43,0.78,0.45,0.80,18866,63156,45964,17192,50525,12631,ALABAMA_CONECUH
AL 2002,ALABAMA,COOSA,Coosa,Hardwood,"3,476",425,"3,900",674,214,888,398,174,572,"4,549",812,"5,360",43,0.78,0.45,0.80,18866,45869,33375,12494,36696,9174,ALABAMA_COOSA
AL 2002,ALABAMA,COVINGTON,Covington,Hardwood,"3,035",343,"3,378",584,185,769,343,149,492,"3,962",677,"4,639",43,0.78,0.45,0.80,18866,39699,28908,10791,31759,7940,ALABAMA_COVINGTON
AL 2002,ALABAMA,CRENSHAW,Crenshaw,Hardwood,"3,187",372,"3,560",615,195,810,362,157,519,"4,164",725,"4,889",43,0.78,0.45,0.80,18866,41839,30466,11373,33471,8368,ALABAMA_CRENSHAW
AL 2002,ALABAMA,CULLMAN,Cullman,Hardwood,"3,262",286,"3,548",613,194,808,360,157,517,"4,235",637,"4,873",43,0.78,0.45,0.80,18866,41702,30363,11339,33361,8340,ALABAMA_CULLMAN
AL 2002,ALABAMA,DALE,Dale,Hardwood,"3,353",353,"3,706",641,203,844,376,164,540,"4,370",719,"5,090",43,0.78,0.45,0.80,18866,43559,31715,11844,34847,8712,ALABAMA_DALE
AL 2002,ALABAMA,DALLAS,Dallas,Hardwood,"10,179","1,135","11,314","1,955",619,"2,574","1,150",501,"1,651","13,285","2,255","15,539",43,0.78,0.45,0.80,18866,132979,96822,36156,106383,26596,ALABAMA_DALLAS
AL 2002,ALABAMA,DEKALB,DeKalb,Hardwood,"4,067",471,"4,538",785,249,"1,033",460,201,661,"5,312",920,"6,232",43,0.78,0.45,0.80,18866,53332,38835,14497,42665,10666,ALABAMA_DEKALB
AL 2002,ALABAMA,ELMORE,Elmore,Hardwood,"1,895",171,"2,067",357,113,470,211,92,303,"2,463",376,"2,840",43,0.78,0.45,0.80,18866,24304,17689,6615,19443,4861,ALABAMA_ELMORE
AL 2002,ALABAMA,ESCAMBIA,Escambia,Hardwood,"3,838",526,"4,364",754,239,993,445,194,639,"5,038",958,"5,996",43,0.78,0.45,0.80,18866,51312,37346,13966,41050,10262,ALABAMA_ESCAMBIA
AL 2002,ALABAMA,ETOWAH,Etowah,Hardwood,"2,873",380,"3,253",562,178,740,330,144,474,"3,766",702,"4,468",43,0.78,0.45,0.80,18866,38236,27838,10398,30589,7647,ALABAMA_ETOWAH
AL 2002,ALABAMA,FAYETTE,Fayette,Hardwood,"2,954",298,"3,252",562,178,740,331,144,475,"3,847",620,"4,467",43,0.78,0.45,0.80,18866,38227,27830,10398,30582,7645,ALABAMA_FAYETTE
AL 2002,ALABAMA,FRANKLIN,Franklin,Hardwood,"4,519",568,"5,087",879,279,"1,158",520,226,746,"5,918","1,073","6,991",43,0.78,0.45,0.80,18866,59827,43533,16294,47862,11965,ALABAMA_FRANKLIN
AL 2002,ALABAMA,GENEVA,Geneva,Hardwood,"2,403",317,"2,720",470,149,619,276,120,396,"3,149",586,"3,735",43,0.78,0.45,0.80,18866,31963,23277,8686,25571,6393,ALABAMA_GENEVA
AL 2002,ALABAMA,GREENE,Greene,Hardwood,"6,601",606,"7,207","1,246",395,"1,640",738,321,"1,059","8,585","1,322","9,907",43,0.78,0.45,0.80,18866,84781,61676,23106,67825,16956,ALABAMA_GREENE
AL 2002,ALABAMA,HALE,Hale,Hardwood,"6,146",638,"6,784","1,172",371,"1,543",691,301,992,"8,009","1,310","9,319",43,0.78,0.45,0.80,18866,79749,58056,21694,63800,15950,ALABAMA_HALE
AL 2002,ALABAMA,HENRY,Henry,Hardwood,"3,994",500,"4,494",776,246,"1,022",456,199,655,"5,227",944,"6,171",43,0.78,0.45,0.80,18866,52810,38458,14351,42248,10562,ALABAMA_HENRY
AL 2002,ALABAMA,HOUSTON,Houston,Hardwood,"2,812",291,"3,103",537,170,707,315,137,452,"3,664",598,"4,262",43,0.78,0.45,0.80,18866,36473,26555,9918,29178,7295,ALABAMA_HOUSTON
AL 2002,ALABAMA,JACKSON,Jackson,Hardwood,"9,599",897,"10,496","1,814",575,"2,389","1,068",465,"1,533","12,481","1,937","14,418",43,0.78,0.45,0.80,18866,123385,89822,33563,98708,24677,ALABAMA_JACKSON
AL 2002,ALABAMA,JEFFERSON,Jefferson,Hardwood,"2,846",192,"3,038",525,166,691,309,134,443,"3,680",493,"4,173",43,0.78,0.45,0.80,18866,35711,25998,9713,28569,7142,ALABAMA_JEFFERSON
AL 2002,ALABAMA,LAMAR,Lamar,Hardwood,"4,068",463,"4,532",783,248,"1,032",460,201,661,"5,312",912,"6,224",43,0.78,0.45,0.80,18866,53263,38784,14480,42611,10653,ALABAMA_LAMAR
AL 2002,ALABAMA,LAUDERDALE,Lauderdale,Hardwood,"5,108",511,"5,618",971,308,"1,279",570,248,818,"6,649","1,066","7,715",43,0.78,0.45,0.80,18866,66023,48077,17946,52818,13205,ALABAMA_LAUDERDALE
AL 2002,ALABAMA,LAWRENCE,Lawrence,Hardwood,"2,931",318,"3,249",562,178,739,330,143,473,"3,822",639,"4,462",43,0.78,0.45,0.80,18866,38185,27804,10381,30548,7637,ALABAMA_LAWRENCE
AL 2002,ALABAMA,LEE,Lee,Hardwood,"2,529",341,"2,870",496,157,653,292,127,419,"3,316",625,"3,942",43,0.78,0.45,0.80,18866,33735,24561,9174,26988,6747,ALABAMA_LEE
AL 2002,ALABAMA,LIMESTONE,Limestone,Hardwood,"1,674",168,"1,842",318,101,419,187,81,268,"2,179",350,"2,529",43,0.78,0.45,0.80,18866,21643,15763,5879,17314,4329,ALABAMA_LIMESTONE
AL 2002,ALABAMA,LOWNDES,Lowndes,Hardwood,"3,419",451,"3,870",669,212,880,395,172,567,"4,483",835,"5,318",43,0.78,0.45,0.80,18866,45510,33118,12392,36408,9102,ALABAMA_LOWNDES
AL 2002,ALABAMA,MACON,Macon,Hardwood,"2,737",311,"3,048",527,167,693,309,135,444,"3,573",613,"4,186",43,0.78,0.45,0.80,18866,35823,26084,9739,28658,7165,ALABAMA_MACON
AL 2002,ALABAMA,MADISON,Madison,Hardwood,"1,753",133,"1,887",326,103,429,192,83,275,"2,271",320,"2,591",43,0.78,0.45,0.80,18866,22173,16148,6025,17738,4435,ALABAMA_MADISON
AL 2002,ALABAMA,MARENGO,Marengo,Hardwood,"17,518","1,600","19,117","3,304","1,047","4,350","1,958",852,"2,810","22,779","3,499","26,278",43,0.78,0.45,0.80,18866,224880,163598,61282,179904,44976,ALABAMA_MARENGO
AL 2002,ALABAMA,MARION,Marion,Hardwood,"2,857",336,"3,193",552,175,727,325,141,466,"3,734",653,"4,387",43,0.78,0.45,0.80,18866,37543,27325,10218,30034,7509,ALABAMA_MARION
AL 2002,ALABAMA,MARSHALL,Marshall,Hardwood,"2,231",267,"2,498",431,137,568,254,110,364,"2,916",514,"3,430",43,0.78,0.45,0.80,18866,29353,21377,7976,23482,5871,ALABAMA_MARSHALL
AL 2002,ALABAMA,MOBILE,Mobile,Hardwood,"4,158",571,"4,729",818,259,"1,077",486,212,698,"5,462","1,041","6,504",43,0.78,0.45,0.80,18866,55659,40470,15190,44528,11132,ALABAMA_MOBILE
AL 2002,ALABAMA,MONROE,Monroe,Hardwood,"9,408","1,199","10,606","1,833",581,"2,414","1,081",471,"1,552","12,322","2,250","14,572",43,0.78,0.45,0.80,18866,124703,90763,33940,99763,24941,ALABAMA_MONROE
AL 2002,ALABAMA,MONTGOMERY,Montgomery,Hardwood,"3,190",328,"3,517",608,193,801,357,155,512,"4,154",676,"4,830",43,0.78,0.45,0.80,18866,41334,30098,11236,33067,8267,ALABAMA_MONTGOMERY
AL 2002,ALABAMA,MORGAN,Morgan,Hardwood,"1,641",223,"1,864",322,102,424,189,83,272,"2,153",408,"2,560",43,0.78,0.45,0.80,18866,21908,15952,5956,17526,4382,ALABAMA_MORGAN
AL 2002,ALABAMA,PERRY,Perry,Hardwood,"3,297",420,"3,716",643,204,846,380,165,545,"4,319",788,"5,108",43,0.78,0.45,0.80,18866,43713,31801,11912,34970,8743,ALABAMA_PERRY
AL 2002,ALABAMA,PICKENS,Pickens,Hardwood,"7,360",743,"8,102","1,400",444,"1,844",823,359,"1,182","9,583","1,545","11,128",43,0.78,0.45,0.80,18866,95230,69335,25896,76184,19046,ALABAMA_PICKENS
AL 2002,ALABAMA,PIKE,Pike,Hardwood,"2,131",218,"2,350",406,129,535,239,104,343,"2,776",451,"3,227",43,0.78,0.45,0.80,18866,27616,20111,7505,22093,5523,ALABAMA_PIKE
AL 2002,ALABAMA,RANDOLPH,Randolph,Hardwood,"2,122",273,"2,396",414,131,546,243,106,349,"2,780",510,"3,290",43,0.78,0.45,0.80,18866,28155,20504,7651,22524,5631,ALABAMA_RANDOLPH
AL 2002,ALABAMA,RUSSELL,Russell,Hardwood,"3,953",558,"4,511",779,247,"1,026",464,202,666,"5,197","1,007","6,203",43,0.78,0.45,0.80,18866,53084,38604,14480,42467,10617,ALABAMA_RUSSELL
AL 2002,ALABAMA,SHELBY,Shelby,Hardwood,"2,617",281,"2,898",501,159,660,296,129,425,"3,414",569,"3,983",43,0.78,0.45,0.80,18866,34085,24800,9285,27268,6817,ALABAMA_SHELBY
AL 2002,ALABAMA,ST. CLAIR,St. Clair,Hardwood,"2,848",398,"3,246",561,178,739,330,144,474,"3,739",720,"4,458",43,0.78,0.45,0.80,18866,38150,27778,10372,30520,7630,ALABAMA_ST. CLAIR
AL 2002,ALABAMA,SUMTER,Sumter,Hardwood,"7,502",862,"8,363","1,446",458,"1,903",853,372,"1,225","9,801","1,691","11,492",43,0.78,0.45,0.80,18866,98345,71568,26777,78676,19669,ALABAMA_SUMTER
AL 2002,ALABAMA,TALLADEGA,Talladega,Hardwood,"3,468",368,"3,836",663,210,873,459,200,659,"4,590",778,"5,368",43,0.78,0.45,0.80,18866,45938,32827,13110,36750,9188,ALABAMA_TALLADEGA
AL 2002,ALABAMA,TALLAPOOSA,Tallapoosa,Hardwood,"3,890",488,"4,378",756,240,996,447,194,641,"5,093",922,"6,015",43,0.78,0.45,0.80,18866,51475,37466,14009,41180,10295,ALABAMA_TALLAPOOSA
AL 2002,ALABAMA,TUSCALOOSA,Tuscaloosa,Hardwood,"7,482",743,"8,224","1,421",450,"1,871",838,365,"1,203","9,741","1,558","11,299",43,0.78,0.45,0.80,18866,96694,70379,26315,77355,19339,ALABAMA_TUSCALOOSA
AL 2002,ALABAMA,WALKER,Walker,Hardwood,"9,214","1,259","10,473","1,810",573,"2,383","1,063",463,"1,526","12,087","2,295","14,382",43,0.78,0.45,0.80,18866,123077,89625,33452,98462,24615,ALABAMA_WALKER
AL 2002,ALABAMA,WASHINGTON,Washington,Hardwood,"9,725","1,171","10,896","1,883",596,"2,479","1,107",482,"1,589","12,715","2,249","14,964",43,0.78,0.45,0.80,18866,128058,93245,34813,102446,25612,ALABAMA_WASHINGTON
AL 2002,ALABAMA,WILCOX,Wilcox,Hardwood,"11,783","1,220","13,003","2,248",712,"2,959","1,322",576,"1,898","15,353","2,507","17,861",43,0.78,0.45,0.80,18866,152850,111276,41573,122280,30570,ALABAMA_WILCOX
AL 2002,ALABAMA,WINSTON,Winston,Hardwood,"2,153",178,"2,330",403,128,530,270,118,388,"2,825",423,"3,248",43,0.78,0.45,0.80,18866,27796,19940,7856,22236,5559,ALABAMA_WINSTON
AR 2002,ARKANSAS,ARKANSAS,Arkansas,Hardwood,"4,076",302,"4,378",940,951,"1,891",826,369,"1,195","5,842","1,622","7,464",43,0.78,0.45,0.80,18866,63875,37466,26409,51100,12775,ARKANSAS_ARKANSAS
AR 2002,ARKANSAS,ASHLEY,Ashley,Hardwood,"5,861",609,"6,471","1,390","1,406","2,796","1,227",549,"1,776","8,479","2,564","11,042",43,0.78,0.45,0.80,18866,94494,55377,39117,75596,18899,ARKANSAS_ASHLEY
AR 2002,ARKANSAS,BAXTER,Baxter,Hardwood,782,26,808,173,175,349,151,67,218,"1,106",269,"1,375",43,0.78,0.45,0.80,18866,11767,6915,4852,9414,2353,ARKANSAS_BAXTER
AR 2002,ARKANSAS,BENTON,Benton,Hardwood,"2,126",81,"2,207",474,479,953,408,182,590,"3,007",743,"3,750",43,0.78,0.45,0.80,18866,32091,18887,13205,25673,6418,ARKANSAS_BENTON
AR 2002,ARKANSAS,BOONE,Boone,Hardwood,967,33,"1,000",215,218,433,185,83,268,"1,367",333,"1,701",43,0.78,0.45,0.80,18866,14557,8558,5999,11645,2911,ARKANSAS_BOONE
AR 2002,ARKANSAS,BRADLEY,Bradley,Hardwood,"7,486",759,"8,244","1,771","1,792","3,563","1,560",698,"2,258","10,818","3,248","14,065",43,0.78,0.45,0.80,18866,120364,70550,49815,96292,24073,ARKANSAS_BRADLEY
AR 2002,ARKANSAS,CALHOUN,Calhoun,Hardwood,"4,249",330,"4,579",984,995,"1,979",867,387,"1,254","6,099","1,713","7,812",43,0.78,0.45,0.80,18866,66853,39186,27667,53482,13371,ARKANSAS_CALHOUN
AR 2002,ARKANSAS,CARROLL,Carroll,Hardwood,"1,287",43,"1,330",286,289,575,246,110,356,"1,819",442,"2,261",43,0.78,0.45,0.80,18866,19349,11382,7967,15479,3870,ARKANSAS_CARROLL
AR 2002,ARKANSAS,CHICOT,Chicot,Hardwood,"4,551",580,"5,131","1,102","1,115","2,217",960,429,"1,389","6,613","2,124","8,737",43,0.78,0.45,0.80,18866,74769,43910,30859,59815,14954,ARKANSAS_CHICOT
AR 2002,ARKANSAS,CLARK,Clark,Hardwood,"2,810",200,"3,010",646,654,"1,300",560,250,810,"4,016","1,104","5,120",43,0.78,0.45,0.80,18866,43816,25759,18057,35052,8763,ARKANSAS_CLARK
AR 2002,ARKANSAS,CLAY,Clay,Hardwood,217,7,224,48,49,97,41,19,60,307,74,381,43,0.78,0.45,0.80,18866,3260,1917,1344,2608,652,ARKANSAS_CLAY
AR 2002,ARKANSAS,CLEBURNE,Cleburne,Hardwood,"2,436",209,"2,645",568,575,"1,143",491,219,710,"3,494","1,004","4,498",43,0.78,0.45,0.80,18866,38493,22635,15857,30794,7699,ARKANSAS_CLEBURNE
AR 2002,ARKANSAS,CLEVELAND,Cleveland,Hardwood,"4,678",425,"5,103","1,096","1,109","2,205",961,430,"1,391","6,736","1,964","8,699",43,0.78,0.45,0.80,18866,74444,43670,30774,59555,14889,ARKANSAS_CLEVELAND
AR 2002,ARKANSAS,COLUMBIA,Columbia,Hardwood,"6,082",556,"6,638","1,426","1,442","2,868","1,236",552,"1,788","8,743","2,551","11,294",43,0.78,0.45,0.80,18866,96651,56806,39845,77321,19330,ARKANSAS_COLUMBIA
AR 2002,ARKANSAS,CONWAY,Conway,Hardwood,48,6,54,11,12,23,10,5,15,70,23,92,43,0.78,0.45,0.80,18866,787,462,325,630,157,ARKANSAS_CONWAY
AR 2002,ARKANSAS,CRAWFORD,Crawford,Hardwood,"1,716",60,"1,776",382,386,768,328,147,475,"2,427",593,"3,020",43,0.78,0.45,0.80,18866,25844,15199,10646,20675,5169,ARKANSAS_CRAWFORD
AR 2002,ARKANSAS,CRITTENDEN,Crittenden,Hardwood,536,18,553,119,120,239,106,48,154,761,186,947,43,0.78,0.45,0.80,18866,8104,4732,3372,6483,1621,ARKANSAS_CRITTENDEN
AR 2002,ARKANSAS,CROSS,Cross,Hardwood,"1,180",40,"1,221",262,265,528,226,101,327,"1,669",407,"2,075",43,0.78,0.45,0.80,18866,17757,10449,7308,14206,3551,ARKANSAS_CROSS
AR 2002,ARKANSAS,DALLAS,Dallas,Hardwood,"3,567",309,"3,876",833,842,"1,675",733,328,"1,061","5,133","1,479","6,612",43,0.78,0.45,0.80,18866,56584,33170,23414,45267,11317,ARKANSAS_DALLAS
AR 2002,ARKANSAS,DESHA,Desha,Hardwood,"2,865",275,"3,141",675,682,"1,357",606,271,877,"4,146","1,228","5,374",43,0.78,0.45,0.80,18866,45989,26880,19109,36791,9198,ARKANSAS_DESHA
AR 2002,ARKANSAS,DREW,Drew,Hardwood,"9,185","1,106","10,291","2,211","2,236","4,447","1,945",870,"2,815","13,341","4,212","17,553",43,0.78,0.45,0.80,18866,150214,88068,62146,120171,30043,ARKANSAS_DREW
AR 2002,ARKANSAS,FAULKNER,Faulkner,Hardwood,235,13,249,54,54,108,46,21,67,335,88,423,43,0.78,0.45,0.80,18866,3620,2131,1489,2896,724,ARKANSAS_FAULKNER
AR 2002,ARKANSAS,FRANKLIN,Franklin,Hardwood,"1,263",42,"1,305",280,283,564,272,121,393,"1,815",447,"2,262",43,0.78,0.45,0.80,18866,19358,11168,8190,15486,3872,ARKANSAS_FRANKLIN
AR 2002,ARKANSAS,FULTON,Fulton,Hardwood,"2,121",71,"2,192",471,476,948,406,181,587,"2,998",728,"3,726",43,0.78,0.45,0.80,18866,31886,18759,13128,25509,6377,ARKANSAS_FULTON
AR 2002,ARKANSAS,GARLAND,Garland,Hardwood,"1,906",84,"1,990",428,432,860,373,167,540,"2,707",683,"3,390",43,0.78,0.45,0.80,18866,29011,17030,11981,23209,5802,ARKANSAS_GARLAND
AR 2002,ARKANSAS,GRANT,Grant,Hardwood,"5,373",493,"5,867","1,260","1,275","2,535","1,113",497,"1,610","7,746","2,265","10,011",43,0.78,0.45,0.80,18866,85671,50208,35463,68537,17134,ARKANSAS_GRANT
AR 2002,ARKANSAS,GREENE,Greene,Hardwood,315,10,325,70,70,140,60,27,87,444,108,552,43,0.78,0.45,0.80,18866,4724,2781,1943,3779,945,ARKANSAS_GREENE
AR 2002,ARKANSAS,HEMPSTEAD,Hempstead,Hardwood,"2,811",240,"3,051",655,663,"1,319",569,255,824,"4,036","1,158","5,194",43,0.78,0.45,0.80,18866,44449,26110,18339,35559,8890,ARKANSAS_HEMPSTEAD
AR 2002,ARKANSAS,HOT SPRING,Hot Spring,Hardwood,"2,329",150,"2,479",532,539,"1,071",470,210,680,"3,331",899,"4,230",43,0.78,0.45,0.80,18866,36199,21215,14985,28959,7240,ARKANSAS_HOT SPRING
AR 2002,ARKANSAS,HOWARD,Howard,Hardwood,"3,485",313,"3,799",816,825,"1,641",723,323,"1,046","5,024","1,462","6,486",43,0.78,0.45,0.80,18866,55505,32511,22995,44404,11101,ARKANSAS_HOWARD
AR 2002,ARKANSAS,INDEPENDENCE,Independence,Hardwood,"3,431",236,"3,667",788,797,"1,584",679,303,982,"4,897","1,336","6,233",43,0.78,0.45,0.80,18866,53340,31381,21959,42672,10668,ARKANSAS_INDEPENDENCE
AR 2002,ARKANSAS,IZARD,Izard,Hardwood,"1,468",49,"1,517",326,329,655,281,125,406,"2,075",504,"2,579",43,0.78,0.45,0.80,18866,22070,12982,9088,17656,4414,ARKANSAS_IZARD
AR 2002,ARKANSAS,JACKSON,Jackson,Hardwood,"1,403",52,"1,456",313,316,629,270,120,390,"1,986",489,"2,475",43,0.78,0.45,0.80,18866,21180,12460,8720,16944,4236,ARKANSAS_JACKSON
AR 2002,ARKANSAS,JEFFERSON,Jefferson,Hardwood,"3,801",348,"4,149",891,902,"1,793",782,349,"1,131","5,474","1,599","7,073",43,0.78,0.45,0.80,18866,60529,35506,25023,48423,12106,ARKANSAS_JEFFERSON
AR 2002,ARKANSAS,JOHNSON,Johnson,Hardwood,608,20,628,135,136,271,194,86,280,936,243,"1,179",43,0.78,0.45,0.80,18866,10090,5374,4715,8072,2018,ARKANSAS_JOHNSON
AR 2002,ARKANSAS,LAFAYETTE,Lafayette,Hardwood,"3,577",380,"3,957",850,860,"1,710",734,328,"1,062","5,161","1,567","6,728",43,0.78,0.45,0.80,18866,57576,33863,23713,46061,11515,ARKANSAS_LAFAYETTE
AR 2002,ARKANSAS,LAWRENCE,Lawrence,Hardwood,"1,541",57,"1,598",343,347,691,295,132,427,"2,179",536,"2,716",43,0.78,0.45,0.80,18866,23243,13675,9568,18594,4649,ARKANSAS_LAWRENCE
AR 2002,ARKANSAS,LEE,Lee,Hardwood,"2,228",96,"2,324",499,505,"1,004",430,192,622,"3,157",793,"3,950",43,0.78,0.45,0.80,18866,33803,19888,13915,27042,6761,ARKANSAS_LEE
AR 2002,ARKANSAS,LINCOLN,Lincoln,Hardwood,"6,247",750,"6,997","1,503","1,520","3,023","1,297",580,"1,877","9,047","2,850","11,897",43,0.78,0.45,0.80,18866,101811,59878,41933,81449,20362,ARKANSAS_LINCOLN
AR 2002,ARKANSAS,LITTLE RIVER,Little River,Hardwood,"4,324",499,"4,822","1,036","1,048","2,084",896,401,"1,297","6,256","1,948","8,204",43,0.78,0.45,0.80,18866,70208,41265,28942,56166,14042,ARKANSAS_LITTLE RIVER
