State,States,COUNTY,County,Species_Group,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Hardwood_Density_lb_ft3,Df,CC,Percentshoot,HANPP_lb_C_perthousand_cubicfeet,TotalHANPP_Harvest_in_Tonnes,HANPP_harvest_used_in_Tonnes,HANPP_Harvest_unused_in_Tonnes,HANPP_Harvest_above_ground_in_Tonnes,HANPP_Harvest_below_ground_in_Tonnes,Stcnty
AL 2007,ALABAMA,AUTAUGA,Autauga,Hardwood,"2,191",214,"2,405",427,636,"1,063",293,127,420,"2,910",978,"3,888",43,0.78,0.45,0.8,18866,33272,20581,12691,26618,6654,ALABAMA_AUTAUGA
AL 2007,ALABAMA,BALDWIN,Baldwin,Hardwood,"3,417",412,"3,829",679,"1,012","1,691",465,203,668,"4,562","1,626","6,188",43,0.78,0.45,0.8,18866,52955,32768,20188,42364,10591,ALABAMA_BALDWIN
AL 2007,ALABAMA,BARBOUR,Barbour,Hardwood,"4,043",471,"4,514",801,"1,193","1,994",549,239,788,"5,393","1,903","7,296",43,0.78,0.45,0.8,18866,62437,38630,23808,49950,12487,ALABAMA_BARBOUR
AL 2007,ALABAMA,BIBB,Bibb,Hardwood,"3,983",394,"4,377",776,"1,157","1,933",532,232,764,"5,292","1,782","7,074",43,0.78,0.45,0.8,18866,60537,37457,23080,48430,12107,ALABAMA_BIBB
AL 2007,ALABAMA,BLOUNT,Blount,Hardwood,"2,344",326,"2,670",474,705,"1,179",325,141,466,"3,142","1,173","4,315",43,0.78,0.45,0.8,18866,36927,22849,14077,29541,7385,ALABAMA_BLOUNT
AL 2007,ALABAMA,BULLOCK,Bullock,Hardwood,"2,342",133,"2,475",439,654,"1,093",301,131,432,"3,082",918,"4,000",43,0.78,0.45,0.8,18866,34231,21180,13051,27385,6846,ALABAMA_BULLOCK
AL 2007,ALABAMA,BUTLER,Butler,Hardwood,"3,985",402,"4,387",778,"1,160","1,938",534,232,766,"5,297","1,794","7,091",43,0.78,0.45,0.8,18866,60683,37543,23140,48546,12137,ALABAMA_BUTLER
AL 2007,ALABAMA,CALHOUN,Calhoun,Hardwood,"2,576",364,"2,940",522,777,"1,299",357,156,513,"3,455","1,297","4,752",43,0.78,0.45,0.8,18866,40666,25160,15507,32533,8133,ALABAMA_CALHOUN
AL 2007,ALABAMA,CHAMBERS,Chambers,Hardwood,"6,177",638,"6,815","1,209","1,801","3,010",828,361,"1,189","8,215","2,799","11,014",43,0.78,0.45,0.8,18866,94255,58321,35934,75404,18851,ALABAMA_CHAMBERS
AL 2007,ALABAMA,CHEROKEE,Cherokee,Hardwood,"1,138",119,"1,257",223,332,555,153,66,219,"1,514",517,"2,031",43,0.78,0.45,0.8,18866,17381,10757,6624,13905,3476,ALABAMA_CHEROKEE
