State,States,COUNTY,County,Species_Group,Growing_Stock_A,Nongrowing_Stock_A,All_Sources_A,Growing_Stock_B,Nongrowing_Stock_B,All_Sources_B,Growing_Stock_C,Nongrowing_Stock_C,All_Sources_C,Growing_Stock_D,Nongrowing_Stock_D,All_Sources_D,Hardwood_Density_lb_ft3,Df,CC,Percentshoot,HANPP_lb_C_perthousand_cubicfeet,TotalHANPP_Harvest_in_Tonnes,HANPP_harvest_used_in_Tonnes,HANPP_Harvest_unused_in_Tonnes,HANPP_Harvest_above_ground_in_Tonnes,HANPP_Harvest_below_ground_in_Tonnes,Stcnty
AL 2012,ALABAMA,AUTAUGA,Autauga,Hardwood,"3,823",980,"4,803",741,"1,574","2,315",640,361,"1,001","5,204","2,915","8,119",43,0.78,0.45,0.80,18866,69480,41103,28377,55584,13896,ALABAMA_AUTAUGA
AL 2012,ALABAMA,BALDWIN,Baldwin,Hardwood,925,177,"1,102",170,361,531,147,82,229,"1,241",621,"1,862",43,0.78,0.45,0.80,18866,15934,9431,6504,12748,3187,ALABAMA_BALDWIN
AL 2012,ALABAMA,BARBOUR,Barbour,Hardwood,"3,399",786,"4,185",646,"1,372","2,018",557,314,871,"4,602","2,472","7,074",43,0.78,0.45,0.80,18866,60537,35814,24723,48430,12107,ALABAMA_BARBOUR
AL 2012,ALABAMA,BIBB,Bibb,Hardwood,"3,498",639,"4,137",638,"1,357","1,995",551,310,861,"4,687","2,306","6,993",43,0.78,0.45,0.80,18866,59844,35403,24441,47875,11969,ALABAMA_BIBB
AL 2012,ALABAMA,BLOUNT,Blount,Hardwood,"2,597",611,"3,208",495,"1,052","1,547",427,241,668,"3,519","1,904","5,423",43,0.78,0.45,0.80,18866,46409,27453,18955,37127,9282,ALABAMA_BLOUNT
AL 2012,ALABAMA,BULLOCK,Bullock,Hardwood,"1,579",386,"1,965",303,644,947,262,147,409,"2,144","1,177","3,321",43,0.78,0.45,0.80,18866,28420,16816,11604,22736,5684,ALABAMA_BULLOCK
AL 2012,ALABAMA,BUTLER,Butler,Hardwood,"2,486",553,"3,039",469,996,"1,465",405,228,633,"3,360","1,777","5,137",43,0.78,0.45,0.80,18866,43961,26007,17954,35169,8792,ALABAMA_BUTLER
AL 2012,ALABAMA,CALHOUN,Calhoun,Hardwood,462,83,545,84,179,263,72,41,113,618,303,921,43,0.78,0.45,0.80,18866,7882,4664,3218,6305,1576,ALABAMA_CALHOUN
AL 2012,ALABAMA,CHAMBERS,Chambers,Hardwood,"1,526",271,"1,797",277,590,867,239,135,374,"2,043",995,"3,038",43,0.78,0.45,0.80,18866,25998,15378,10620,20799,5200,ALABAMA_CHAMBERS
AL 2012,ALABAMA,CHEROKEE,Cherokee,Hardwood,"1,620",368,"1,988",307,652,959,265,149,414,"2,192","1,169","3,361",43,0.78,0.45,0.80,18866,28763,17013,11750,23010,5753,ALABAMA_CHEROKEE
AL 2012,ALABAMA,CHILTON,Chilton,Hardwood,"2,839",582,"3,421",528,"1,121","1,649",456,256,712,"3,822","1,960","5,782",43,0.78,0.45,0.80,18866,49481,29276,20205,39585,9896,ALABAMA_CHILTON
AL 2012,ALABAMA,CHOCTAW,Choctaw,Hardwood,"9,588","2,141","11,729","1,809","3,846","5,655","1,562",880,"2,442","12,960","6,866","19,826",43,0.78,0.45,0.80,18866,169666,100374,69292,135732,33933,ALABAMA_CHOCTAW
AL 2012,ALABAMA,CLARKE,Clarke,Hardwood,"14,755","3,383","18,138","2,798","5,947","8,745","2,416","1,360","3,776","19,969","10,690","30,659",43,0.78,0.45,0.80,18866,262371,155220,107151,209897,52474,ALABAMA_CLARKE
AL 2012,ALABAMA,CLAY,Clay,Hardwood,"2,721",553,"3,274",505,"1,074","1,579",436,246,682,"3,662","1,873","5,535",43,0.78,0.45,0.80,18866,47367,28018,19349,37894,9473,ALABAMA_CLAY
AL 2012,ALABAMA,CLEBURNE,Cleburne,Hardwood,559,112,671,103,220,323,90,50,140,752,382,"1,134",43,0.78,0.45,0.80,18866,9704,5742,3962,7764,1941,ALABAMA_CLEBURNE
AL 2012,ALABAMA,COFFEE,Coffee,Hardwood,"1,408",328,"1,736",268,569,837,231,130,361,"1,907","1,027","2,934",43,0.78,0.45,0.80,18866,25108,14856,10252,20087,5022,ALABAMA_COFFEE
AL 2012,ALABAMA,COLBERT,Colbert,Hardwood,"1,853",400,"2,253",348,739,"1,087",300,169,469,"2,501","1,308","3,809",43,0.78,0.45,0.80,18866,32596,19281,13316,26077,6519,ALABAMA_COLBERT
AL 2012,ALABAMA,CONECUH,Conecuh,Hardwood,"4,519","1,045","5,564",858,"1,825","2,683",741,417,"1,158","6,118","3,287","9,405",43,0.78,0.45,0.80,18866,80485,47615,32870,64388,16097,ALABAMA_CONECUH
AL 2012,ALABAMA,COOSA,Coosa,Hardwood,"2,484",515,"2,999",463,983,"1,446",399,225,624,"3,346","1,723","5,069",43,0.78,0.45,0.80,18866,43379,25665,17715,34703,8676,ALABAMA_COOSA
AL 2012,ALABAMA,COVINGTON,Covington,Hardwood,"1,251",283,"1,534",236,503,739,204,115,319,"1,692",900,"2,592",43,0.78,0.45,0.80,18866,22182,13128,9054,17745,4436,ALABAMA_COVINGTON
AL 2012,ALABAMA,CRENSHAW,Crenshaw,Hardwood,"3,451",840,"4,291",662,"1,407","2,069",571,322,893,"4,684","2,569","7,253",43,0.78,0.45,0.80,18866,62069,36721,25348,49655,12414,ALABAMA_CRENSHAW
AL 2012,ALABAMA,CULLMAN,Cullman,Hardwood,"1,905",422,"2,327",359,763,"1,122",310,174,484,"2,573","1,360","3,933",43,0.78,0.45,0.80,18866,33658,19914,13744,26926,6732,ALABAMA_CULLMAN
AL 2012,ALABAMA,DALE,Dale,Hardwood,"1,459",340,"1,799",277,590,867,239,135,374,"1,975","1,065","3,040",43,0.78,0.45,0.80,18866,26016,15395,10620,20812,5203,ALABAMA_DALE
AL 2012,ALABAMA,DALLAS,Dallas,Hardwood,"4,479","1,110","5,589",862,"1,833","2,695",744,419,"1,163","6,085","3,362","9,447",43,0.78,0.45,0.80,18866,80845,47829,33016,64676,16169,ALABAMA_DALLAS
AL 2012,ALABAMA,DEKALB,DeKalb,Hardwood,"2,945",467,"3,412",526,"1,119","1,645",454,256,710,"3,926","1,841","5,767",43,0.78,0.45,0.80,18866,49352,29199,20153,39482,9870,ALABAMA_DEKALB
AL 2012,ALABAMA,ELMORE,Elmore,Hardwood,"1,710",336,"2,046",316,671,987,273,153,426,"2,299","1,160","3,459",43,0.78,0.45,0.80,18866,29601,17509,12092,23681,5920,ALABAMA_ELMORE
AL 2012,ALABAMA,ESCAMBIA,Escambia,Hardwood,"1,542",366,"1,908",294,626,920,254,143,397,"2,090","1,135","3,225",43,0.78,0.45,0.80,18866,27599,16328,11271,22079,5520,ALABAMA_ESCAMBIA
AL 2012,ALABAMA,ETOWAH,Etowah,Hardwood,"1,250",312,"1,562",241,512,753,208,117,325,"1,699",941,"2,640",43,0.78,0.45,0.80,18866,22592,13367,9225,18074,4518,ALABAMA_ETOWAH
AL 2012,ALABAMA,FAYETTE,Fayette,Hardwood,"1,779",307,"2,086",322,684,"1,006",278,156,434,"2,379","1,147","3,526",43,0.78,0.45,0.80,18866,30175,17851,12323,24140,6035,ALABAMA_FAYETTE
AL 2012,ALABAMA,FRANKLIN,Franklin,Hardwood,"1,357",346,"1,703",263,558,821,227,128,355,"1,847","1,032","2,879",43,0.78,0.45,0.80,18866,24638,14574,10064,19710,4928,ALABAMA_FRANKLIN
AL 2012,ALABAMA,GENEVA,Geneva,Hardwood,567,148,715,110,235,345,95,54,149,773,436,"1,209",43,0.78,0.45,0.80,18866,10346,6119,4228,8277,2069,ALABAMA_GENEVA
AL 2012,ALABAMA,GREENE,Greene,Hardwood,"3,723",581,"4,304",664,"1,411","2,075",573,323,896,"4,960","2,315","7,275",43,0.78,0.45,0.80,18866,62257,36832,25425,49806,12451,ALABAMA_GREENE
AL 2012,ALABAMA,HALE,Hale,Hardwood,"4,314",826,"5,140",793,"1,685","2,478",685,385,"1,070","5,792","2,896","8,688",43,0.78,0.45,0.80,18866,74350,43987,30363,59480,14870,ALABAMA_HALE
AL 2012,ALABAMA,HENRY,Henry,Hardwood,"2,166",703,"2,869",443,941,"1,384",382,215,597,"2,991","1,859","4,850",43,0.78,0.45,0.80,18866,41505,24552,16953,33204,8301,ALABAMA_HENRY
AL 2012,ALABAMA,HOUSTON,Houston,Hardwood,888,199,"1,087",168,356,524,145,81,226,"1,200",637,"1,837",43,0.78,0.45,0.80,18866,15721,9302,6418,12576,3144,ALABAMA_HOUSTON
AL 2012,ALABAMA,JACKSON,Jackson,Hardwood,"8,190","1,419","9,609","1,482","3,151","4,633","1,280",720,"2,000","10,952","5,290","16,242",43,0.78,0.45,0.80,18866,138995,82231,56763,111196,27799,ALABAMA_JACKSON
AL 2012,ALABAMA,JEFFERSON,Jefferson,Hardwood,"2,099",353,"2,452",378,804,"1,182",327,184,511,"2,805","1,340","4,145",43,0.78,0.45,0.80,18866,35472,20984,14488,28377,7094,ALABAMA_JEFFERSON
AL 2012,ALABAMA,LAMAR,Lamar,Hardwood,"1,691",328,"2,019",312,662,974,269,151,420,"2,271","1,142","3,413",43,0.78,0.45,0.80,18866,29208,17278,11929,23366,5842,ALABAMA_LAMAR
AL 2012,ALABAMA,LAUDERDALE,Lauderdale,Hardwood,"2,493",398,"2,891",446,948,"1,394",385,217,602,"3,324","1,563","4,887",43,0.78,0.45,0.80,18866,41822,24740,17081,33457,8364,ALABAMA_LAUDERDALE
AL 2012,ALABAMA,LAWRENCE,Lawrence,Hardwood,"1,142",205,"1,347",208,442,650,179,101,280,"1,529",748,"2,277",43,0.78,0.45,0.80,18866,19486,11527,7959,15589,3897,ALABAMA_LAWRENCE
AL 2012,ALABAMA,LEE,Lee,Hardwood,"1,952",348,"2,300",355,754,"1,109",306,173,479,"2,614","1,274","3,888",43,0.78,0.45,0.80,18866,33272,19683,13590,26618,6654,ALABAMA_LEE
AL 2012,ALABAMA,LIMESTONE,Limestone,Hardwood,"1,015",157,"1,172",181,384,565,156,88,244,"1,352",629,"1,981",43,0.78,0.45,0.80,18866,16953,10030,6923,13562,3391,ALABAMA_LIMESTONE
AL 2012,ALABAMA,LOWNDES,Lowndes,Hardwood,"1,705",311,"2,016",311,661,972,269,151,420,"2,285","1,123","3,408",43,0.78,0.45,0.80,18866,29165,17252,11912,23332,5833,ALABAMA_LOWNDES
AL 2012,ALABAMA,MACON,Macon,Hardwood,"1,430",350,"1,780",275,583,858,237,134,371,"1,941","1,068","3,009",43,0.78,0.45,0.80,18866,25750,15233,10517,20600,5150,ALABAMA_MACON
AL 2012,ALABAMA,MADISON,Madison,Hardwood,"1,701",243,"1,944",300,637,937,259,146,405,"2,260","1,026","3,286",43,0.78,0.45,0.80,18866,28121,16636,11484,22497,5624,ALABAMA_MADISON
AL 2012,ALABAMA,MARENGO,Marengo,Hardwood,"7,212","1,443","8,655","1,335","2,838","4,173","1,153",649,"1,802","9,700","4,930","14,630",43,0.78,0.45,0.80,18866,125200,74067,51132,100160,25040,ALABAMA_MARENGO
AL 2012,ALABAMA,MARION,Marion,Hardwood,"3,336",704,"4,040",623,"1,325","1,948",538,303,841,"4,498","2,331","6,829",43,0.78,0.45,0.80,18866,58441,34573,23868,46753,11688,ALABAMA_MARION
AL 2012,ALABAMA,MARSHALL,Marshall,Hardwood,"1,161",211,"1,372",212,450,662,183,103,286,"1,555",765,"2,320",43,0.78,0.45,0.80,18866,19854,11741,8113,15883,3971,ALABAMA_MARSHALL
AL 2012,ALABAMA,MOBILE,Mobile,Hardwood,"2,048",489,"2,537",391,832,"1,223",338,190,528,"2,777","1,511","4,288",43,0.78,0.45,0.80,18866,36696,21711,14985,29356,7339,ALABAMA_MOBILE
AL 2012,ALABAMA,MONROE,Monroe,Hardwood,"6,091","1,524","7,615","1,175","2,497","3,672","1,014",571,"1,585","8,280","4,592","12,872",43,0.78,0.45,0.80,18866,110155,65167,44988,88124,22031,ALABAMA_MONROE
AL 2012,ALABAMA,MONTGOMERY,Montgomery,Hardwood,"1,228",287,"1,515",234,497,731,202,114,316,"1,664",898,"2,562",43,0.78,0.45,0.80,18866,21925,12965,8960,17540,4385,ALABAMA_MONTGOMERY
AL 2012,ALABAMA,MORGAN,Morgan,Hardwood,"1,126",234,"1,360",210,446,656,181,102,283,"1,517",782,"2,299",43,0.78,0.45,0.80,18866,19674,11639,8036,15739,3935,ALABAMA_MORGAN
AL 2012,ALABAMA,PERRY,Perry,Hardwood,"3,315",753,"4,068",627,"1,334","1,961",542,305,847,"4,484","2,392","6,876",43,0.78,0.45,0.80,18866,58843,34813,24030,47074,11769,ALABAMA_PERRY
AL 2012,ALABAMA,PICKENS,Pickens,Hardwood,"3,517",488,"4,005",618,"1,313","1,931",534,300,834,"4,668","2,102","6,770",43,0.78,0.45,0.80,18866,57936,34274,23662,46349,11587,ALABAMA_PICKENS
AL 2012,ALABAMA,PIKE,Pike,Hardwood,"2,061",450,"2,511",387,824,"1,211",335,188,523,"2,783","1,462","4,245",43,0.78,0.45,0.80,18866,36328,21488,14839,29062,7266,ALABAMA_PIKE
AL 2012,ALABAMA,RANDOLPH,Randolph,Hardwood,"1,599",511,"2,110",325,692,"1,017",281,158,439,"2,205","1,361","3,566",43,0.78,0.45,0.80,18866,30517,18057,12460,24413,6103,ALABAMA_RANDOLPH
AL 2012,ALABAMA,RUSSELL,Russell,Hardwood,"1,010",197,"1,207",186,396,582,161,90,251,"1,357",683,"2,040",43,0.78,0.45,0.80,18866,17458,10329,7129,13966,3492,ALABAMA_RUSSELL
AL 2012,ALABAMA,SHELBY,Shelby,Hardwood,"2,385",459,"2,844",439,932,"1,371",379,213,592,"3,202","1,605","4,807",43,0.78,0.45,0.80,18866,41137,24338,16799,32910,8227,ALABAMA_SHELBY
AL 2012,ALABAMA,ST. CLAIR,St. Clair,Hardwood,"3,374",757,"4,131",637,"1,355","1,992",550,310,860,"4,562","2,421","6,983",43,0.78,0.45,0.80,18866,59759,35352,24407,47807,11952,ALABAMA_ST. CLAIR
AL 2012,ALABAMA,SUMTER,Sumter,Hardwood,"7,205","1,576","8,781","1,355","2,879","4,234","1,170",658,"1,828","9,729","5,114","14,843",43,0.78,0.45,0.80,18866,127022,75145,51877,101618,25404,ALABAMA_SUMTER
AL 2012,ALABAMA,TALLADEGA,Talladega,Hardwood,"1,279",229,"1,508",233,494,727,201,113,314,"1,713",836,"2,549",43,0.78,0.45,0.80,18866,21814,12905,8909,17451,4363,ALABAMA_TALLADEGA
AL 2012,ALABAMA,TALLAPOOSA,Tallapoosa,Hardwood,"3,656",860,"4,516",697,"1,480","2,177",601,339,940,"4,954","2,679","7,633",43,0.78,0.45,0.80,18866,65321,38647,26674,52257,13064,ALABAMA_TALLAPOOSA
AL 2012,ALABAMA,TUSCALOOSA,Tuscaloosa,Hardwood,"6,475","1,227","7,702","1,188","2,526","3,714","1,026",577,"1,603","8,689","4,330","13,019",43,0.78,0.45,0.80,18866,111413,65912,45501,89130,22283,ALABAMA_TUSCALOOSA
AL 2012,ALABAMA,WALKER,Walker,Hardwood,"1,037",225,"1,262",195,414,609,168,95,263,"1,400",734,"2,134",43,0.78,0.45,0.80,18866,18262,10800,7462,14610,3652,ALABAMA_WALKER
AL 2012,ALABAMA,WASHINGTON,Washington,Hardwood,"5,942","1,460","7,402","1,142","2,427","3,569",986,555,"1,541","8,070","4,442","12,512",43,0.78,0.45,0.80,18866,107074,63344,43730,85659,21415,ALABAMA_WASHINGTON
AL 2012,ALABAMA,WILCOX,Wilcox,Hardwood,"5,393","1,260","6,653","1,026","2,182","3,208",886,499,"1,385","7,305","3,941","11,246",43,0.78,0.45,0.80,18866,96240,56935,39306,76992,19248,ALABAMA_WILCOX
AL 2012,ALABAMA,WINSTON,Winston,Hardwood,"1,871",421,"2,292",354,751,"1,105",305,172,477,"2,530","1,344","3,874",43,0.78,0.45,0.80,18866,33153,19614,13538,26522,6631,ALABAMA_WINSTON
AR 2012,ARKANSAS,ARKANSAS,Arkansas,Hardwood,"1,523",95,"1,618",278,533,811,377,254,631,"2,178",882,"3,060",43,0.78,0.45,0.80,18866,26187,13846,12340,20949,5237,ARKANSAS_ARKANSAS
AR 2012,ARKANSAS,ASHLEY,Ashley,Hardwood,"9,664",697,"10,361","1,772","3,401","5,173","2,425","1,630","4,055","13,861","5,728","19,589",43,0.78,0.45,0.80,18866,167637,88667,78971,134110,33527,ARKANSAS_ASHLEY
AR 2012,ARKANSAS,BAXTER,Baxter,Hardwood,450,30,480,82,158,240,112,76,188,644,264,908,43,0.78,0.45,0.80,18866,7770,4108,3663,6216,1554,ARKANSAS_BAXTER
AR 2012,ARKANSAS,BENTON,Benton,Hardwood,944,44,988,169,324,493,231,156,387,"1,345",523,"1,868",43,0.78,0.45,0.80,18866,15986,8455,7531,12789,3197,ARKANSAS_BENTON
AR 2012,ARKANSAS,BOONE,Boone,Hardwood,488,25,513,88,168,256,120,81,201,696,274,970,43,0.78,0.45,0.80,18866,8301,4390,3911,6641,1660,ARKANSAS_BOONE
AR 2012,ARKANSAS,BRADLEY,Bradley,Hardwood,"3,899",285,"4,184",715,"1,374","2,089",980,658,"1,638","5,594","2,317","7,911",43,0.78,0.45,0.80,18866,67700,35806,31895,54160,13540,ARKANSAS_BRADLEY
AR 2012,ARKANSAS,CALHOUN,Calhoun,Hardwood,"2,811",173,"2,984",510,980,"1,490",699,469,"1,168","4,020","1,622","5,642",43,0.78,0.45,0.80,18866,48283,25536,22746,38626,9657,ARKANSAS_CALHOUN
AR 2012,ARKANSAS,CARROLL,Carroll,Hardwood,732,34,766,131,251,382,179,121,300,"1,042",406,"1,448",43,0.78,0.45,0.80,18866,12392,6555,5836,9913,2478,ARKANSAS_CARROLL
AR 2012,ARKANSAS,CHICOT,Chicot,Hardwood,887,66,953,163,313,476,223,150,373,"1,273",529,"1,802",43,0.78,0.45,0.80,18866,15421,8156,7266,12337,3084,ARKANSAS_CHICOT
